Difficulty,Stimulus,Correct,Foil1,Foil2,Foil3,Label
11,"['16 + 15', '79 + 56', '32 - 29', '43 - 29', '90 + 62', '73 - 55', '83 - 59', '23 + 37', '39 + 18', '68 + 75', '93 - 39', '62 - 48', '44 - 15', '15 + 94', '95 + 64', '26 + 25']","['31', '135', '3', '14', '152', '18', '24', '60', '57', '143', '54', '14', '29', '109', '159', '51']","['21', '145', '5', '4', '142', '8', '34', '70', '47', '133', '64', '4', '39', '99', '149', '41']","['28', '121', '7', '15', '167', '20', '22', '66', '51', '129', '59', '13', '26', '98', '175', '46']","['18', '131', '9', '5', '177', '10', '12', '56', '41', '139', '49', '3', '36', '108', '165', '36']","Addition/subtration 2-digit, with carrying"
12,"[u'4 *div 1', u'40 *div 4', u'70 *div 10', u'80 *div 8', u'5 *div 1', u'10 *div 10', u'40 *div 10', u'9 *div 9', u'60 *div 6', u'6 *div 1', u'3 *div 1', u'3 *div 3', u'8 *div 1', u'7 *div 1', u'90 *div 9', u'30 *div 3']","['4', '10', '7', '10', '5', '1', '4', '1', '10', '6', '3', '1', '8', '7', '10', '10']","['5', '9', '6', '9', '6', '10', '5', '9', '9', '7', '2', '3', '9', '6', '9', '9']","['6', '8', '5', '8', '3', '2', '2', '3', '8', '8', '5', '2', '6', '9', '8', '8']","['1', '7', '10', '7', '8', '9', '7', '7', '7', '9', '6', '5', '5', '10', '7', '7']",Division by 1s and 10s up to 10
13,"['10 x 21', '22 x 10', '25 x 10', '20 x 10', '30 x 10', '26 x 10', '14 x 10', '15 x 10', '10 x 12', '10 x 10', '10 x 11', '10 x 23', '10 x 29', '17 x 10', '16 x 10', '18 x 10']","['210', '220', '250', '200', '300', '260', '140', '150', '120', '100', '110', '230', '290', '170', '160', '180']","['200', '230', '240', '190', '310', '270', '150', '160', '130', '110', '120', '240', '300', '180', '150', '170']","['230', '200', '230', '220', '280', '280', '160', '170', '100', '120', '130', '250', '270', '150', '180', '200']","['180', '250', '280', '170', '270', '290', '170', '120', '90', '130', '80', '200', '260', '140', '190', '150']",Multiplication by 10s up to 30
14,"[u'130 *div 10', u'100 *div 10', u'150 *div 15', u'25 *div 25', u'24 *div 1', u'22 *div 1', u'210 *div 10', u'19 *div 1', u'220 *div 10', u'10 *div 10', u'270 *div 10', u'140 *div 14', u'11 *div 11', u'17 *div 17', u'160 *div 10', u'11 *div 1']","['13', '10', '10', '1', '24', '22', '21', '19', '22', '1', '27', '10', '1', '1', '16', '11']","['14', '11', '11', '25', '25', '21', '22', '18', '21', '10', '26', '11', '11', '17', '17', '12']","['15', '8', '12', '2', '22', '24', '23', '21', '24', '2', '25', '8', '2', '3', '18', '13']","['10', '13', '7', '27', '21', '25', '18', '22', '25', '12', '24', '7', '13', '15', '19', '14']",Division by 1s and 10s up to 30
15,"['4 x 5', '4 x 2', '3 x 5', '3 x 4', '5 x 2', '3 x 3', '7 x 2', '9 x 9', '5 x 5', '3 x 2', '6 x 2', '2 x 2']","['20', '8', '15', '12', '10', '9', '14', '81', '25', '6', '12', '4']","['16', '7', '12', '9', '11', '7', '12', '72', '20', '7', '10', '3']","['12', '12', '9', '6', '6', '13', '18', '99', '15', '3', '16', '1']","['15', '13', '10', '16', '16', '15', '7', '90', '30', '1', '18', '9']",Mixed Multiplication Level 1
16,"['4 x 9', '2 x 8', '5 x 7', '6 x 3', '4 x 4', '5 x 9', '3 x 7', '3 x 9', '6 x 6', '9 x 2', '5 x 8', '5 x 6']","['36', '16', '35', '18', '16', '45', '21', '27', '36', '18', '40', '30']","['32', '18', '40', '15', '12', '50', '24', '30', '42', '16', '45', '25']","['28', '12', '45', '12', '8', '55', '27', '21', '48', '14', '50', '20']","['27', '24', '28', '24', '20', '54', '28', '36', '30', '27', '32', '24']",Mixed Multiplication Level 2
17,"['8 x 8', '8 x 3', '7 x 8', '6 x 8', '9 x 6', '7 x 4', '7 x 9', '7 x 7', '6 x 4', '6 x 7', '8 x 4', '8 x 9']","['64', '24', '56', '48', '54', '28', '63', '49', '24', '42', '32', '72']","['56', '21', '49', '42', '60', '32', '70', '42', '20', '36', '28', '80']","['48', '30', '70', '60', '66', '36', '49', '35', '16', '54', '24', '88']","['72', '16', '48', '40', '63', '21', '72', '56', '30', '49', '40', '81']",Mixed Multiplication Level 3
18,"[u'10 *div 2', u'14 *div 7', u'9 *div 3', u'8 *div 4', u'25 *div 5', u'12 *div 4', u'81 *div 9', u'20 *div 5', u'12 *div 6', u'8 *div 2', u'20 *div 4', u'6 *div 3', u'12 *div 3', u'4 *div 2', u'15 *div 3', u'10 *div 5']","['5', '2', '3', '2', '5', '3', '9', '4', '2', '4', '5', '2', '4', '2', '5', '2']","['4', '3', '2', '1', '4', '2', '8', '3', '3', '3', '6', '1', '3', '3', '6', '1']","['7', '4', '1', '4', '7', '5', '7', '6', '4', '6', '7', '4', '2', '4', '3', '4']","['2', '5', '6', '5', '2', '6', '6', '1', '5', '1', '2', '5', '7', '5', '2', '5']",Mixed Division Level 1
19,"[u'30 *div 5', u'18 *div 2', u'45 *div 9', u'35 *div 5', u'27 *div 9', u'16 *div 8', u'21 *div 3', u'16 *div 4', u'30 *div 6', u'45 *div 5', u'40 *div 8', u'36 *div 4', u'21 *div 7', u'35 *div 7', u'18 *div 3', u'18 *div 9']","['6', '9', '5', '7', '3', '2', '7', '4', '5', '9', '5', '9', '3', '5', '6', '2']","['7', '8', '6', '8', '2', '1', '8', '3', '4', '8', '4', '8', '2', '4', '5', '3']","['4', '7', '7', '9', '5', '4', '5', '2', '7', '7', '3', '7', '5', '3', '4', '4']","['3', '6', '8', '4', '6', '5', '4', '1', '8', '6', '8', '6', '6', '2', '9', '5']",Mixed Division Level 2
20,"[u'63 *div 9', u'63 *div 7', u'42 *div 6', u'48 *div 8', u'48 *div 6', u'72 *div 9', u'24 *div 4', u'56 *div 8', u'42 *div 7', u'72 *div 8', u'54 *div 6', u'32 *div 8', u'24 *div 6', u'54 *div 9', u'64 *div 8', u'24 *div 3']","['7', '9', '7', '6', '8', '8', '6', '7', '6', '9', '9', '4', '4', '6', '8', '8']","['6', '8', '8', '7', '7', '9', '5', '8', '5', '8', '8', '5', '3', '5', '7', '9']","['5', '7', '9', '4', '6', '6', '4', '9', '4', '7', '7', '6', '6', '8', '6', '6']","['4', '6', '4', '3', '5', '5', '3', '4', '3', '6', '6', '1', '1', '9', '5', '5']",Mixed Division Level 3
21,"['4.2 - 1.7', '3.5 + 9.2', '8.5 + 5.2', '7 - 3.9', '6.2 + 5.4', '9 - 2.2', '8.9 - 3.1', '7.9 + 5.9', '7.9 + 8.3', '8.9 - 1.2', '9.7 + 2.2', '6.9 - 3.1', '2.2 + 4.8', '7.9 + 1.6', '8.2 - 1.8', '4.7 - 2.6']","['2.5', '12.7', '13.7', '3.1', '11.6', '6.8', '5.8', '13.8', '16.2', '7.7', '11.9', '3.8', '7', '9.5', '6.4', '2.1']","['3.5', '11.7', '14.7', '4.1', '10.6', '7.8', '6.8', '12.8', '15.2', '6.7', '12.9', '4.8', '6', '10.5', '5.4', '1.1']","['2.4', '12.2', '13.9', '6.1', '11.1', '9.8', '5.4', '14.6', '15.4', '7.6', '11.3', '3.3', '6.6', '9', '7.1', '1.7']","['3.4', '11.2', '14.9', '8.1', '12.1', '12.8', '4.4', '15.6', '16.4', '6.6', '12.3', '4.3', '7.6', '8', '6.1', '2.7']",Decimal Addition/subtraction range 1-9
22,"['703 + 98', '976 + 94', '804 - 58', '882 - 60', '794 - 75', '252 + 41', '43 + 571', '648 - 82', '370 + 29', '34 + 845', '932 - 23', '780 - 78', '194 + 57', '283 + 79', '142 - 40', '237 - 32']","['801', '1070', '746', '822', '719', '293', '614', '566', '399', '879', '909', '702', '251', '362', '102', '205']","['791', '1060', '736', '832', '729', '303', '624', '556', '409', '889', '919', '712', '261', '352', '92', '215']","['881', '1177', '821', '740', '647', '264', '675', '623', '439', '791', '818', '772', '226', '326', '112', '184']","['871', '1187', '831', '730', '657', '254', '665', '633', '449', '781', '808', '782', '236', '336', '122', '194']",3-digit to 2-digit Addition/subtraction
23,"['8 x 52', '19 x 5', '84 x 4', '4 x 80', '14 x 4', '63 x 7', '9 x 40', '39 x 7', '30 x 5', '38 x 6', '75 x 5', '4 x 18', '38 x 9', '44 x 5', '3 x 70', '33 x 6']","['416', '95', '336', '320', '56', '441', '360', '273', '150', '228', '375', '72', '342', '220', '210', '198']","['406', '85', '326', '310', '60', '451', '350', '263', '140', '238', '385', '62', '352', '210', '220', '208']","['408', '100', '332', '324', '64', '448', '369', '280', '155', '222', '380', '68', '351', '225', '213', '204']","['398', '90', '322', '334', '42', '438', '359', '290', '165', '212', '390', '78', '341', '215', '203', '214']",Mixed 2-digit by 1-digit multiplication
24,"['9 + (2 x 7)', '2 x (5 + 6)', '(3 x 9) + 7', '(9 x 9) + 2', '(6 + 3) x 5', '8 x (5 + 7)', '6 x (6 + 6)', '(6 + 4) x 3', '2 + (6 x 6)', '(5 + 5) x 6', '(8 x 8) + 2', '3 + (3 x 5)', '5 + (4 x 6)', '9 + (6 x 9)', '(4 + 6) x 6', '(4 + 8) x 6']","[23, 22, 34, 83, 45, 96, 72, 30, 38, 60, 66, 18, 29, 63, 60, 72]","[18, 24, 32, 81, 36, 115, 57, 31, 30, 58, 52, 21, 28, 61, 48, 71]","[13, 12, 24, 73, 35, 86, 82, 20, 28, 70, 56, 8, 19, 53, 70, 82]","[28, 34, 22, 91, 46, 125, 67, 21, 40, 68, 62, 11, 38, 51, 38, 61]",
25,"['(8 + 7) x 9', '8 x (5 + 9)', '7 x (8 + 9)', '(9 + 8) x 6', '(7 + 7) x 9', '(7 + 8) x 7', '9 x (7 + 7)', '(8 + 9) x 9', '8 x (9 + 7)', '7 x (7 + 8)', '8 x (7 + 7)', '(5 + 9) x 8', '9 x (4 + 9)', '9 x (6 + 6)', '9 x (9 + 6)', '6 x (8 + 9)']","[135, 112, 119, 102, 126, 105, 126, 153, 128, 105, 112, 112, 117, 108, 135, 102]","[162, 134, 95, 122, 127, 106, 127, 122, 130, 104, 134, 113, 116, 106, 137, 103]","[145, 102, 129, 92, 136, 115, 136, 143, 118, 115, 122, 122, 127, 98, 145, 92]","[152, 144, 85, 112, 137, 96, 137, 132, 120, 114, 144, 103, 106, 116, 127, 113]",
