Natural_Order,soundA,soundB,Details,Contour,Notes_Different,root,Answer,Random_Order
117,"[11, 8, 5, 4, 1]","[11, 10.0, 5, 4, 3.0]","No Scale, 2",DDDD,2,"['G',3]",different,0.759181501
556,"[11.5, 8, 5, 4, 1]","[11.5, 8, 5, 4, 1]","No Scale, 0.5",UUUU,0,"['G',3]",same,0.456573152
237,"[3, 6, 1, 5, 2]","[3, 4.0, 1, 5, 2]","No Scale, 2",DUDU,1,"['B',4]",different,0.447381924
397,"[2, 5.0, 6, 3, 1]","[2, 5.0, 6, 3, 1]","No Scale, 0.5",UUDD,0,"['B',4]",same,0.473455337
616,"[1, 3.0, 5, 7.0, 9]","[1, 3.0, 5, 7.0, 9]","No Scale, 2",UUDD,0,"['G',3]",same,0.81747827
489,"[2, 4, 6.5, 3, 1.5]","[2, 4, 6.5, 3, 1.5]","No Scale, 0.5",UUUU,0,"['B',4]",same,0.151501704
9,"[1, 2, 5, 8, 9]","[1, 2, 5, 9.0, 9]","No Scale, 1",UUUU,1,"['G',3]",different,0.263175286
555,"[1, 2, 5, 8, 11.0]","[1, 2, 5, 8, 11.0]","No Scale, 2",UUDD,0,"['G',3]",same,0.348256027
584,"[2, 4, 6, 5.0, 1]","[2, 4, 6, 5.0, 1]","No Scale, 2",DDDD,0,"['B',4]",same,0.391513488
561,"[12.0, 8, 5, 4, 1]","[12.0, 8, 5, 4, 1]","No Scale, 0.5",DUDU,0,"['G',3]",same,0.442350217
83,"[1, 2, 5, 8, 9]","[3.0, 2, 5, 10.0, 9]","No Scale, 2",UUUU,2,"['G',3]",different,0.390123437
121,"[2, 4, 6, 3, 1]","[2.5, 4.5, 6, 3, 1]","No Scale, 0.5",UUDD,2,"['G',3]",different,0.788785585
110,"[11, 8, 5, 4, 1]","[11, 8, 5, 3.0, 2.0]","No Scale, 1",DDDD,2,"['G',3]",different,0.289320874
620,"[1, 2, 5, 7.0, 10.0]","[1, 2, 5, 7.0, 10.0]","No Scale, 2",DUDU,0,"['G',3]",same,0.214195551
183,"[1, 2, 5, 8, 9]","[1, 2, 4.5, 8, 9]","No Scale, 0.5",UUUU,1,"['B',4]",different,0.913754918
678,"[2, 4, 7.0, 4.0, 1]","[2, 4, 7.0, 4.0, 1]","No Scale, 2",UUDD,0,"['G',3]",same,0.176067261
432,"[0.0, 2, 6.0, 8, 9]","[0.0, 2, 6.0, 8, 9]","No Scale, 2",UUDD,0,"['B',4]",same,0.30511593
69,"[1, 2, 5, 8, 9]","[1, 2, 5.5, 8, 9.5]","No Scale, 0.5",UUUU,2,"['G',3]",different,0.970762621
562,"[11, 7.0, 5, 4, 1]","[11, 7.0, 5, 4, 1]","No Scale, 1",UUDD,0,"['B',4]",same,0.618292239
79,"[1, 2, 5, 8, 9]","[1, 2, 6.0, 8, 10.0]","No Scale, 1",UUUU,2,"['G',3]",different,0.847007422
617,"[1, 1.0, 5, 8, 8.0]","[1, 1.0, 5, 8, 8.0]","No Scale, 0.5",UUUU,0,"['G',3]",same,0.210066495
689,"[2, 4, 8.0, 3, 3.0]","[2, 4, 8.0, 3, 3.0]","No Scale, 1",UUDD,0,"['B',4]",same,0.119390974
423,"[0.5, 2, 5, 7.5, 9]","[0.5, 2, 5, 7.5, 9]","No Scale, 1",UUDD,0,"['G',3]",same,0.297885454
622,"[3.0, 2, 3.0, 8, 9]","[3.0, 2, 3.0, 8, 9]","No Scale, 1",DDDD,0,"['G',3]",same,0.18649547
37,"[2, 4, 6, 3, 1]","[2, 5.0, 6, 3, 1]","No Scale, 1",UUDD,1,"['G',3]",different,0.17708627
515,"[3, 5.5, 1.5, 5, 2]","[3, 5.5, 1.5, 5, 2]","No Scale, 2",DUDU,0,"['G',3]",same,0.182751918
498,"[2, 4, 7.0, 4.0, 1]","[2, 4, 7.0, 4.0, 1]","No Scale, 2",DUDU,0,"['G',3]",same,0.998113364
319,"[2, 4, 6, 3, 1]","[2, 4, 5.0, 3, 2.0]","No Scale, 1",UUDD,2,"['B',4]",different,0.026812623
683,"[0.0, 4, 6, 5.0, 1]","[0.0, 4, 6, 5.0, 1]","No Scale, 1",DDDD,0,"['B',4]",same,0.992890427
180,"[3, 6, 1, 5, 2]","[3, 6, 1, 7.0, 4.0]","No Scale, 2",DUDU,2,"['G',3]",different,0.84023746
203,"[11, 8, 5, 4, 1]","[11, 8, 6.0, 4, 1]","No Scale, 1",DDDD,1,"['B',4]",different,0.11892189
480,"[11, 8, 5, 2.0, 3.0]","[11, 8, 5, 2.0, 3.0]","No Scale, 0.5",DDDD,0,"['B',4]",same,0.246562094
359,"[3, 6, 1, 5, 2]","[3, 6, 1, 7.0, 4.0]","No Scale, 2",DUDU,2,"['B',4]",different,0.255292511
289,"[11, 8, 5, 4, 1]","[11, 8, 4.0, 4, 0.0]","No Scale, 1",DDDD,2,"['B',4]",different,0.017485928
475,"[11, 10.0, 7.0, 4, 1]","[11, 10.0, 7.0, 4, 1]","No Scale, 0.5",UUUU,0,"['G',3]",same,0.888660924
695,"[3, 5.5, 1.5, 5, 2]","[3, 5.5, 1.5, 5, 2]","No Scale, 0.5",DUDU,0,"['B',4]",same,0.45919017
520,"[3, 6, 1, 5.5, 2.5]","[3, 6, 1, 5.5, 2.5]","No Scale, 2",DUDU,0,"['B',4]",same,0.357312918
124,"[2, 4, 6, 3, 1]","[2.5, 4, 6, 3, 1.5]","No Scale, 0.5",UUDD,2,"['G',3]",different,0.713585364
132,"[2, 4, 6, 3, 1]","[1.0, 4, 7.0, 3, 1]","No Scale, 1",UUDD,2,"['G',3]",different,0.93484794
644,"[12.0, 8, 5, 4, 0.0]","[12.0, 8, 5, 4, 0.0]","No Scale, 0.5",DUDU,0,"['G',3]",same,0.45134184
705,"[3, 5.0, 0.0, 5, 2]","[3, 5.0, 0.0, 5, 2]","No Scale, 2",DDDD,0,"['G',3]",same,0.921011018
194,"[1, 2, 5, 8, 9]","[1, 2, 5, 10.0, 9]","No Scale, 2",UUUU,1,"['B',4]",different,0.471578125
414,"[3, 6, 1, 4.0, 2]","[3, 6, 1, 4.0, 2]","No Scale, 2",UUUU,0,"['B',4]",same,0.250869506
510,"[2, 4, 6, 1.0, 3.0]","[2, 4, 6, 1.0, 3.0]","No Scale, 1",DUDU,0,"['B',4]",same,0.817941539
12,"[1, 2, 5, 8, 9]","[1, 0.0, 5, 8, 9]","No Scale, 2",UUUU,1,"['G',3]",different,0.137939773
94,"[11, 8, 5, 4, 1]","[11.5, 8, 5, 4, 0.5]","No Scale, 0.5",DDDD,2,"['G',3]",different,0.045694616
594,"[3, 6, 1, 4.0, 2]","[3, 6, 1, 4.0, 2]","No Scale, 1",UUUU,0,"['B',4]",same,0.243107195
165,"[3, 6, 1, 5, 2]","[3, 5.0, 0.0, 5, 2]","No Scale, 1",DUDU,2,"['G',3]",different,0.015361699
131,"[2, 4, 6, 3, 1]","[1.0, 3.0, 6, 3, 1]","No Scale, 1",UUDD,2,"['G',3]",different,0.616420269
205,"[11, 8, 5, 4, 1]","[11, 8, 5, 4, 0.0]","No Scale, 1",DDDD,1,"['B',4]",different,0.951491202
455,"[11, 8.5, 4.5, 4, 1]","[11, 8.5, 4.5, 4, 1]","No Scale, 2",UUUU,0,"['B',4]",same,0.908562473
467,"[11, 7.0, 5, 4, 0.0]","[11, 7.0, 5, 4, 0.0]","No Scale, 0.5",UUUU,0,"['B',4]",same,0.404963861
618,"[1, 2, 6.0, 7.0, 9]","[1, 2, 6.0, 7.0, 9]","No Scale, 0.5",UUDD,0,"['G',3]",same,0.68755544
325,"[2, 4, 6, 3, 1]","[2, 6.0, 8.0, 3, 1]","No Scale, 2",UUDD,2,"['B',4]",different,0.834531193
444,"[-1.0, 2, 5, 8, 11.0]","[-1.0, 2, 5, 8, 11.0]","No Scale, 0.5",DDDD,0,"['B',4]",same,0.241082643
675,"[2, 5.0, 7.0, 3, 1]","[2, 5.0, 7.0, 3, 1]","No Scale, 1",UUDD,0,"['G',3]",same,0.258392983
508,"[2, 4, 4.0, 5.0, 1]","[2, 4, 4.0, 5.0, 1]","No Scale, 1",UUUU,0,"['G',3]",same,0.095102757
126,"[2, 4, 6, 3, 1]","[2, 4.5, 6, 3.5, 1]","No Scale, 0.5",UUDD,2,"['G',3]",different,0.772351661
646,"[11, 7.0, 5, 5.0, 1]","[11, 7.0, 5, 5.0, 1]","No Scale, 0.5",DUDU,0,"['B',4]",same,0.75060131
98,"[11, 8, 5, 4, 1]","[11, 8, 4.5, 4.5, 1]","No Scale, 0.5",DDDD,2,"['G',3]",different,0.019310896
497,"[2, 3.0, 6, 3, 0.0]","[2, 3.0, 6, 3, 0.0]","No Scale, 2",DDDD,0,"['B',4]",same,0.611396011
57,"[3, 6, 1, 5, 2]","[3, 4.0, 1, 5, 2]","No Scale, 2",DUDU,1,"['G',3]",different,0.980624566
559,"[11, 8, 5, 4.5, 1]","[11, 8, 5, 4.5, 1]","No Scale, 0.5",DDDD,0,"['B',4]",same,0.5576734
605,"[1, 1.5, 4.5, 8, 9]","[1, 1.5, 4.5, 8, 9]","No Scale, 0.5",DUDU,0,"['G',3]",same,0.811281693
43,"[2, 4, 6, 3, 1]","[2, 4, 8.0, 3, 1]","No Scale, 2",UUDD,1,"['G',3]",different,0.024002806
586,"[2.5, 6, 1, 5, 2]","[2.5, 6, 1, 5, 2]","No Scale, 2",DUDU,0,"['B',4]",same,0.390847818
379,"[11, 8, 5, 4.5, 1]","[11, 8, 5, 4.5, 1]","No Scale, 2",DUDU,0,"['B',4]",same,0.758588706
645,"[11, 7.0, 6.0, 4, 1]","[11, 7.0, 6.0, 4, 1]","No Scale, 0.5",DDDD,0,"['B',4]",same,0.770372753
87,"[1, 2, 5, 8, 9]","[1, 4.0, 5, 8, 7.0]","No Scale, 2",UUUU,2,"['G',3]",different,0.65682432
654,"[9.0, 8, 5, 4, -1.0]","[9.0, 8, 5, 4, -1.0]","No Scale, 2",UUUU,0,"['G',3]",same,0.838160147
273,"[11, 8, 5, 4, 1]","[10.5, 8, 5, 4.5, 1]","No Scale, 0.5",DDDD,2,"['B',4]",different,0.729696814
122,"[2, 4, 6, 3, 1]","[1.5, 4, 6.5, 3, 1]","No Scale, 0.5",UUDD,2,"['G',3]",different,0.020017739
410,"[3, 6, 1, 5, 2.5]","[3, 6, 1, 5, 2.5]","No Scale, 2",DDDD,0,"['B',4]",same,0.584872637
391,"[1.5, 4, 6, 3, 1]","[1.5, 4, 6, 3, 1]","No Scale, 0.5",UUUU,0,"['B',4]",same,0.264609519
452,"[10.5, 8, 5.5, 4, 1]","[10.5, 8, 5.5, 4, 1]","No Scale, 2",UUDD,0,"['G',3]",same,0.424025046
147,"[2, 4, 6, 3, 1]","[2, 6.0, 6, 3, -1.0]","No Scale, 2",UUDD,2,"['G',3]",different,0.474699995
429,"[1, 2, 5.5, 8, 9.5]","[1, 2, 5.5, 8, 9.5]","No Scale, 0.5",UUUU,0,"['B',4]",same,0.120697228
356,"[3, 6, 1, 5, 2]","[3, 8.0, 1, 5, 4.0]","No Scale, 2",DUDU,2,"['B',4]",different,0.789769105
395,"[2, 4, 6, 3, 0.5]","[2, 4, 6, 3, 0.5]","No Scale, 0.5",UUUU,0,"['B',4]",same,0.378835666
93,"[11, 8, 5, 4, 1]","[10.5, 8, 5, 4.5, 1]","No Scale, 0.5",DDDD,2,"['G',3]",different,0.098024569
580,"[2, 4, 6, 3, 0.0]","[2, 4, 6, 3, 0.0]","No Scale, 0.5",DDDD,0,"['G',3]",same,0.499133117
506,"[2, 2.0, 6, 1.0, 1]","[2, 2.0, 6, 1.0, 1]","No Scale, 2",UUDD,0,"['B',4]",same,0.252891227
501,"[0.0, 2.0, 6, 3, 1]","[0.0, 2.0, 6, 3, 1]","No Scale, 2",UUDD,0,"['B',4]",same,0.089760203
85,"[1, 2, 5, 8, 9]","[1, 0.0, 3.0, 8, 9]","No Scale, 2",UUUU,2,"['G',3]",different,0.690012468
91,"[11, 8, 5, 4, 1]","[10.5, 8.5, 5, 4, 1]","No Scale, 0.5",DDDD,2,"['G',3]",different,0.165588236
366,"[0.0, 2, 5, 8, 9]","[0.0, 2, 5, 8, 9]","No Scale, 2",UUUU,0,"['B',4]",same,0.937013019
223,"[2, 4, 6, 3, 1]","[2, 4, 8.0, 3, 1]","No Scale, 2",UUDD,1,"['B',4]",different,0.731353063
123,"[2, 4, 6, 3, 1]","[2.5, 4, 6, 3.5, 1]","No Scale, 0.5",UUDD,2,"['G',3]",different,0.759821307
51,"[3, 6, 1, 5, 2]","[2.0, 6, 1, 5, 2]","No Scale, 1",DUDU,1,"['G',3]",different,0.017825312
522,"[2.0, 6, 2.0, 5, 2]","[2.0, 6, 2.0, 5, 2]","No Scale, 2",DUDU,0,"['G',3]",same,0.18731798
604,"[1.5, 2, 5, 8, 9.5]","[1.5, 2, 5, 8, 9.5]","No Scale, 0.5",DDDD,0,"['B',4]",same,0.096993374
353,"[3, 6, 1, 5, 2]","[5.0, 6, 1, 3.0, 2]","No Scale, 2",DUDU,2,"['B',4]",different,0.372661621
488,"[2, 4, 6.5, 3.5, 1]","[2, 4, 6.5, 3.5, 1]","No Scale, 1",DUDU,0,"['G',3]",same,0.239513137
403,"[2, 4, 8.0, 3, 1]","[2, 4, 8.0, 3, 1]","No Scale, 0.5",DDDD,0,"['G',3]",same,0.815526597
138,"[2, 4, 6, 3, 1]","[2, 4, 7.0, 4.0, 1]","No Scale, 1",UUDD,2,"['G',3]",different,0.935767857
80,"[1, 2, 5, 8, 9]","[1, 2, 5, 7.0, 10.0]","No Scale, 1",UUUU,2,"['G',3]",different,0.437312524
367,"[1, 3.0, 5, 8, 9]","[1, 3.0, 5, 8, 9]","No Scale, 0.5",DDDD,0,"['G',3]",same,0.753479335
222,"[2, 4, 6, 3, 1]","[2, 2.0, 6, 3, 1]","No Scale, 2",UUDD,1,"['B',4]",different,0.992048129
613,"[0.0, 2, 5, 7.0, 9]","[0.0, 2, 5, 7.0, 9]","No Scale, 2",UUDD,0,"['G',3]",same,0.452567974
256,"[1, 2, 5, 8, 9]","[1, 3.0, 5, 7.0, 9]","No Scale, 1",UUUU,2,"['B',4]",different,0.058654776
173,"[3, 6, 1, 5, 2]","[5.0, 6, 1, 3.0, 2]","No Scale, 2",DUDU,2,"['G',3]",different,0.380253775
217,"[2, 4, 6, 3, 1]","[2, 5.0, 6, 3, 1]","No Scale, 1",UUDD,1,"['B',4]",different,0.14664111
670,"[2, 4, 6, 3.5, 0.5]","[2, 4, 6, 3.5, 0.5]","No Scale, 0.5",DUDU,0,"['B',4]",same,0.125377997
558,"[11, 8, 5.5, 4, 1]","[11, 8, 5.5, 4, 1]","No Scale, 1",DDDD,0,"['B',4]",same,0.466697058
623,"[3.0, 2, 5, 10.0, 9]","[3.0, 2, 5, 10.0, 9]","No Scale, 0.5",DDDD,0,"['G',3]",same,0.442535269
293,"[11, 8, 5, 4, 1]","[13.0, 8, 5, 2.0, 1]","No Scale, 2",DDDD,2,"['B',4]",different,0.235596552
568,"[11, 8, 7.0, 4, 1]","[11, 8, 7.0, 4, 1]","No Scale, 2",DDDD,0,"['B',4]",same,0.142053469
312,"[2, 4, 6, 3, 1]","[1.0, 4, 7.0, 3, 1]","No Scale, 1",UUDD,2,"['B',4]",different,0.625768827
681,"[0.0, 2.0, 6, 3, 1]","[0.0, 2.0, 6, 3, 1]","No Scale, 2",DDDD,0,"['B',4]",same,0.923829248
699,"[3, 6, 0.5, 5, 1.5]","[3, 6, 0.5, 5, 1.5]","No Scale, 1",DUDU,0,"['B',4]",same,0.012741578
583,"[2, 4, 8.0, 3, 1]","[2, 4, 8.0, 3, 1]","No Scale, 2",DDDD,0,"['G',3]",same,0.957345852
286,"[11, 8, 5, 4, 1]","[11, 7.0, 5, 5.0, 1]","No Scale, 1",DDDD,2,"['B',4]",different,0.511730311
483,"[2.5, 4, 6, 3.5, 1]","[2.5, 4, 6, 3.5, 1]","No Scale, 2",DUDU,0,"['G',3]",same,0.267415713
587,"[3, 6.5, 1, 5, 2]","[3, 6.5, 1, 5, 2]","No Scale, 1",DUDU,0,"['B',4]",same,0.767275736
511,"[3.5, 6.5, 1, 5, 2]","[3.5, 6.5, 1, 5, 2]","No Scale, 1",DUDU,0,"['B',4]",same,0.251669677
272,"[11, 8, 5, 4, 1]","[10.5, 8, 5.5, 4, 1]","No Scale, 0.5",DDDD,2,"['B',4]",different,0.504958308
141,"[2, 4, 6, 3, 1]","[0.0, 2.0, 6, 3, 1]","No Scale, 2",UUDD,2,"['G',3]",different,0.421466636
292,"[11, 8, 5, 4, 1]","[13.0, 8, 3.0, 4, 1]","No Scale, 2",DDDD,2,"['B',4]",different,0.565932661
697,"[3, 6.5, 1, 5, 2.5]","[3, 6.5, 1, 5, 2.5]","No Scale, 2",UUDD,0,"['B',4]",same,0.739668789
574,"[2, 4, 6, 3.5, 1]","[2, 4, 6, 3.5, 1]","No Scale, 2",UUUU,0,"['B',4]",same,0.915527222
690,"[2, 4, 6, 1.0, 3.0]","[2, 4, 6, 1.0, 3.0]","No Scale, 0.5",UUDD,0,"['B',4]",same,0.60173075
349,"[3, 6, 1, 5, 2]","[3, 6, 2.0, 5, 3.0]","No Scale, 1",DUDU,2,"['B',4]",different,0.734084224
134,"[2, 4, 6, 3, 1]","[3.0, 4, 6, 3, 0.0]","No Scale, 1",UUDD,2,"['G',3]",different,0.861814318
614,"[0.0, 2, 5, 8, 10.0]","[0.0, 2, 5, 8, 10.0]","No Scale, 2",DDDD,0,"['B',4]",same,0.961565339
208,"[11, 8, 5, 4, 1]","[11, 8, 7.0, 4, 1]","No Scale, 2",DDDD,1,"['B',4]",different,0.41947646
656,"[11, 6.0, 5, 6.0, 1]","[11, 6.0, 5, 6.0, 1]","No Scale, 0.5",UUDD,0,"['G',3]",same,0.683337975
70,"[1, 2, 5, 8, 9]","[1, 2, 5, 8.5, 8.5]","No Scale, 0.5",UUUU,2,"['G',3]",different,0.479959709
628,"[1, 2, 3.0, 10.0, 9]","[1, 2, 3.0, 10.0, 9]","No Scale, 0.5",UUDD,0,"['G',3]",same,0.80431937
120,"[11, 8, 5, 4, 1]","[11, 8, 5, 2.0, 3.0]","No Scale, 2",DDDD,2,"['G',3]",different,0.517367402
609,"[1, 2, 5.5, 8, 9.5]","[1, 2, 5.5, 8, 9.5]","No Scale, 2",DDDD,0,"['B',4]",same,0.523223817
599,"[3, 6, 1, 3.0, 2]","[3, 6, 1, 3.0, 2]","No Scale, 1",UUUU,0,"['B',4]",same,0.350140505
344,"[3, 6, 1, 5, 2]","[4.0, 6, 1, 5, 3.0]","No Scale, 1",DUDU,2,"['B',4]",different,0.944271406
302,"[2, 4, 6, 3, 1]","[1.5, 4, 6.5, 3, 1]","No Scale, 0.5",UUDD,2,"['B',4]",different,0.15759011
288,"[11, 8, 5, 4, 1]","[11, 8, 4.0, 5.0, 1]","No Scale, 1",DDDD,2,"['B',4]",different,0.329605618
553,"[1, 2, 7.0, 8, 9]","[1, 2, 7.0, 8, 9]","No Scale, 1",UUUU,0,"['G',3]",same,0.785244597
557,"[11, 8.5, 5, 4, 1]","[11, 8.5, 5, 4, 1]","No Scale, 2",DUDU,0,"['B',4]",same,0.737520366
7,"[1, 2, 5, 8, 9]","[1, 3.0, 5, 8, 9]","No Scale, 1",UUUU,1,"['G',3]",different,0.958043635
340,"[3, 6, 1, 5, 2]","[3, 6, 1, 5.5, 2.5]","No Scale, 0.5",DUDU,2,"['B',4]",different,0.033734075
209,"[11, 8, 5, 4, 1]","[11, 8, 5, 6.0, 1]","No Scale, 2",DDDD,1,"['B',4]",different,0.928089563
573,"[2, 4, 5.5, 3, 1]","[2, 4, 5.5, 3, 1]","No Scale, 1",UUUU,0,"['B',4]",same,0.823051173
64,"[1, 2, 5, 8, 9]","[1.5, 2, 5, 8, 9.5]","No Scale, 0.5",UUUU,2,"['G',3]",different,0.159697919
90,"[1, 2, 5, 8, 9]","[1, 2, 5, 10.0, 7.0]","No Scale, 2",UUUU,2,"['G',3]",different,0.661151132
383,"[11, 8, 6.0, 4, 1]","[11, 8, 6.0, 4, 1]","No Scale, 2",UUDD,0,"['G',3]",same,0.692812369
636,"[11, 7.5, 5, 4.5, 1]","[11, 7.5, 5, 4.5, 1]","No Scale, 2",DDDD,0,"['G',3]",same,0.215328863
638,"[11, 8, 4.5, 4.5, 1]","[11, 8, 4.5, 4.5, 1]","No Scale, 1",DUDU,0,"['B',4]",same,0.932809249
63,"[1, 2, 5, 8, 9]","[0.5, 2, 5, 7.5, 9]","No Scale, 0.5",UUUU,2,"['G',3]",different,0.630793996
320,"[2, 4, 6, 3, 1]","[2, 4, 6, 4.0, 2.0]","No Scale, 1",UUDD,2,"['B',4]",different,0.876854264
542,"[1, 2.5, 5, 8, 9]","[1, 2.5, 5, 8, 9]","No Scale, 0.5",UUUU,0,"['B',4]",same,0.986058257
626,"[1, 4.0, 5, 6.0, 9]","[1, 4.0, 5, 6.0, 9]","No Scale, 2",UUDD,0,"['G',3]",same,0.023838048
404,"[2, 4, 6, 5.0, 1]","[2, 4, 6, 5.0, 1]","No Scale, 2",DDDD,0,"['G',3]",same,0.411333481
233,"[3, 6, 1, 5, 2]","[3, 6, 0.0, 5, 2]","No Scale, 1",DUDU,1,"['B',4]",different,0.248388155
330,"[2, 4, 6, 3, 1]","[2, 4, 6, 1.0, 3.0]","No Scale, 2",UUDD,2,"['B',4]",different,0.381426976
569,"[11, 8, 5, 6.0, 1]","[11, 8, 5, 6.0, 1]","No Scale, 1",DUDU,0,"['B',4]",same,0.867402184
170,"[3, 6, 1, 5, 2]","[3, 6, 1, 6.0, 1.0]","No Scale, 1",DUDU,2,"['G',3]",different,0.493601744
206,"[11, 8, 5, 4, 1]","[13.0, 8, 5, 4, 1]","No Scale, 2",DDDD,1,"['B',4]",different,0.268319572
262,"[1, 2, 5, 8, 9]","[3.0, 2, 3.0, 8, 9]","No Scale, 2",UUUU,2,"['B',4]",different,0.963162899
696,"[3, 5.5, 1, 4.5, 2]","[3, 5.5, 1, 4.5, 2]","No Scale, 1",UUDD,0,"['B',4]",same,0.636617526
639,"[11, 8, 5.5, 4, 1.5]","[11, 8, 5.5, 4, 1.5]","No Scale, 0.5",UUDD,0,"['B',4]",same,0.49656952
