Natural_Order,soundA,soundB,Details,Contour,Notes_Different,root,Answer,Random_Order
202,"[11, 8, 5, 4, 1]","[11, 7.0, 5, 4, 1]","No Scale, 1",DDDD,1,"['B',4]",different,0.821624312
346,"[3, 6, 1, 5, 2]","[3, 7.0, 1, 6.0, 2]","No Scale, 1",DUDU,2,"['B',4]",different,0.833864453
13,"[1, 2, 5, 8, 9]","[1, 2, 7.0, 8, 9]","No Scale, 2",UUUU,1,"['G',3]",different,0.734413831
375,"[1, 2, 5, 8, 11.0]","[1, 2, 5, 8, 11.0]","No Scale, 2",DUDU,0,"['G',3]",same,0.896638142
342,"[3, 6, 1, 5, 2]","[2.0, 6, 2.0, 5, 2]","No Scale, 1",DUDU,2,"['B',4]",different,0.097174632
149,"[2, 4, 6, 3, 1]","[2, 4, 8.0, 3, 3.0]","No Scale, 2",UUDD,2,"['G',3]",different,0.434058084
418,"[3, 6, -1.0, 5, 2]","[3, 6, -1.0, 5, 2]","No Scale, 0.5",DDDD,0,"['B',4]",same,0.12446624
212,"[2, 4, 6, 3, 1]","[2, 4.5, 6, 3, 1]","No Scale, 0.5",UUDD,1,"['B',4]",different,0.408608646
576,"[3.0, 4, 6, 3, 1]","[3.0, 4, 6, 3, 1]","No Scale, 1",DDDD,0,"['G',3]",same,0.500214517
677,"[2, 3.0, 6, 3, 0.0]","[2, 3.0, 6, 3, 0.0]","No Scale, 2",DUDU,0,"['B',4]",same,0.64990976
36,"[2, 4, 6, 3, 1]","[3.0, 4, 6, 3, 1]","No Scale, 1",UUDD,1,"['G',3]",different,0.62341326
361,"[1.5, 2, 5, 8, 9]","[1.5, 2, 5, 8, 9]","No Scale, 2",UUUU,0,"['G',3]",same,0.813034172
443,"[3.0, 2, 5, 10.0, 9]","[3.0, 2, 5, 10.0, 9]","No Scale, 2",DDDD,0,"['G',3]",same,0.749168426
22,"[11, 8, 5, 4, 1]","[11, 7.0, 5, 4, 1]","No Scale, 1",DDDD,1,"['G',3]",different,0.564387576
111,"[11, 8, 5, 4, 1]","[9.0, 6.0, 5, 4, 1]","No Scale, 2",DDDD,2,"['G',3]",different,0.101522907
494,"[3.0, 4, 6, 3, 0.0]","[3.0, 4, 6, 3, 0.0]","No Scale, 0.5",UUDD,0,"['B',4]",same,0.509135991
335,"[3, 6, 1, 5, 2]","[3, 5.5, 1.5, 5, 2]","No Scale, 0.5",DUDU,2,"['B',4]",different,0.845408114
589,"[3, 6, 1, 4.5, 2]","[3, 6, 1, 4.5, 2]","No Scale, 2",DUDU,0,"['G',3]",same,0.97453076
672,"[1.0, 4, 7.0, 3, 1]","[1.0, 4, 7.0, 3, 1]","No Scale, 2",UUUU,0,"['G',3]",same,0.916212822
304,"[2, 4, 6, 3, 1]","[2.5, 4, 6, 3, 1.5]","No Scale, 0.5",UUDD,2,"['B',4]",different,0.134601691
513,"[3.5, 6, 1, 4.5, 2]","[3.5, 6, 1, 4.5, 2]","No Scale, 0.5",UUUU,0,"['G',3]",same,0.270414949
419,"[3, 6, 1, 3.0, 2]","[3, 6, 1, 3.0, 2]","No Scale, 0.5",UUDD,0,"['B',4]",same,0.156687066
453,"[10.5, 8, 5, 4.5, 1]","[10.5, 8, 5, 4.5, 1]","No Scale, 1",UUUU,0,"['B',4]",same,0.803538687
19,"[11, 8, 5, 4, 1]","[11, 8, 5, 4.5, 1]","No Scale, 0.5",DDDD,1,"['G',3]",different,0.850857647
531,"[5.0, 4.0, 1, 5, 2]","[5.0, 4.0, 1, 5, 2]","No Scale, 2",UUDD,0,"['B',4]",same,0.551204272
436,"[1, 3.0, 5, 7.0, 9]","[1, 3.0, 5, 7.0, 9]","No Scale, 0.5",UUUU,0,"['B',4]",same,0.428616885
338,"[3, 6, 1, 5, 2]","[3, 6, 1.5, 5.5, 2]","No Scale, 0.5",DUDU,2,"['B',4]",different,0.530000525
679,"[2, 4, 5.0, 3, 2.0]","[2, 4, 5.0, 3, 2.0]","No Scale, 2",UUUU,0,"['B',4]",same,0.62517972
257,"[1, 2, 5, 8, 9]","[1, 1.0, 5, 8, 8.0]","No Scale, 1",UUUU,2,"['B',4]",different,0.914546394
198,"[11, 8, 5, 4, 1]","[11, 8, 5.5, 4, 1]","No Scale, 0.5",DDDD,1,"['B',4]",different,0.498275371
486,"[2, 4.5, 6, 3.5, 1]","[2, 4.5, 6, 3.5, 1]","No Scale, 0.5",DDDD,0,"['B',4]",same,0.056268369
300,"[11, 8, 5, 4, 1]","[11, 8, 5, 2.0, 3.0]","No Scale, 2",DDDD,2,"['B',4]",different,0.035770237
567,"[11, 10.0, 5, 4, 1]","[11, 10.0, 5, 4, 1]","No Scale, 1",UUDD,0,"['G',3]",same,0.427397583
5,"[1, 2, 5, 8, 9]","[1, 2, 5, 8, 8.5]","No Scale, 0.5",UUUU,1,"['G',3]",different,0.221498757
495,"[2, 5.0, 7.0, 3, 1]","[2, 5.0, 7.0, 3, 1]","No Scale, 1",UUUU,0,"['G',3]",same,0.074435266
301,"[2, 4, 6, 3, 1]","[2.5, 4.5, 6, 3, 1]","No Scale, 0.5",UUDD,2,"['B',4]",different,0.70688617
2,"[1, 2, 5, 8, 9]","[1, 2.5, 5, 8, 9]","No Scale, 0.5",UUUU,1,"['G',3]",different,0.826384259
655,"[11, 10.0, 7.0, 4, 1]","[11, 10.0, 7.0, 4, 1]","No Scale, 1",UUDD,0,"['B',4]",same,0.073649484
135,"[2, 4, 6, 3, 1]","[2, 5.0, 7.0, 3, 1]","No Scale, 1",UUDD,2,"['G',3]",different,0.193361953
235,"[3, 6, 1, 5, 2]","[3, 6, 1, 5, 1.0]","No Scale, 1",DUDU,1,"['B',4]",different,0.453112911
482,"[1.5, 4, 6.5, 3, 1]","[1.5, 4, 6.5, 3, 1]","No Scale, 2",DUDU,0,"['G',3]",same,0.863727627
33,"[2, 4, 6, 3, 1]","[2, 4, 5.5, 3, 1]","No Scale, 0.5",UUDD,1,"['G',3]",different,0.380805552
161,"[3, 6, 1, 5, 2]","[2.0, 5.0, 1, 5, 2]","No Scale, 1",DUDU,2,"['G',3]",different,0.101755796
610,"[1, 2, 5, 8.5, 8.5]","[1, 2, 5, 8.5, 8.5]","No Scale, 2",UUDD,0,"['B',4]",same,0.32118067
16,"[11, 8, 5, 4, 1]","[11.5, 8, 5, 4, 1]","No Scale, 0.5",DDDD,1,"['G',3]",different,0.55262189
317,"[2, 4, 6, 3, 1]","[2, 3.0, 6, 3, 0.0]","No Scale, 1",UUDD,2,"['B',4]",different,0.48077327
454,"[11.5, 8, 5, 4, 0.5]","[11.5, 8, 5, 4, 0.5]","No Scale, 2",UUDD,0,"['B',4]",same,0.145702792
445,"[1, 0.0, 3.0, 8, 9]","[1, 0.0, 3.0, 8, 9]","No Scale, 1",DUDU,0,"['B',4]",same,0.329328719
116,"[11, 8, 5, 4, 1]","[11, 6.0, 5, 6.0, 1]","No Scale, 2",DDDD,2,"['G',3]",different,0.923888704
607,"[1, 1.5, 5, 8, 8.5]","[1, 1.5, 5, 8, 8.5]","No Scale, 1",DUDU,0,"['G',3]",same,0.162147954
514,"[3.5, 6, 1, 5, 2.5]","[3.5, 6, 1, 5, 2.5]","No Scale, 0.5",DDDD,0,"['B',4]",same,0.308359619
128,"[2, 4, 6, 3, 1]","[2, 4, 6.5, 3.5, 1]","No Scale, 0.5",UUDD,2,"['G',3]",different,0.724500868
253,"[1, 2, 5, 8, 9]","[0.0, 2, 5, 7.0, 9]","No Scale, 1",UUUU,2,"['B',4]",different,0.702256575
546,"[0.0, 2, 5, 8, 9]","[0.0, 2, 5, 8, 9]","No Scale, 2",UUUU,0,"['G',3]",same,0.50851478
204,"[11, 8, 5, 4, 1]","[11, 8, 5, 5.0, 1]","No Scale, 1",DDDD,1,"['B',4]",different,0.135936933
129,"[2, 4, 6, 3, 1]","[2, 4, 6.5, 3, 1.5]","No Scale, 0.5",UUDD,2,"['G',3]",different,0.171722463
442,"[3.0, 2, 3.0, 8, 9]","[3.0, 2, 3.0, 8, 9]","No Scale, 1",DUDU,0,"['B',4]",same,0.416211972
172,"[3, 6, 1, 5, 2]","[5.0, 6, -1.0, 5, 2]","No Scale, 2",DUDU,2,"['G',3]",different,0.654923788
38,"[2, 4, 6, 3, 1]","[2, 4, 5.0, 3, 1]","No Scale, 1",UUDD,1,"['G',3]",different,0.076171007
485,"[2, 4.5, 5.5, 3, 1]","[2, 4.5, 5.5, 3, 1]","No Scale, 1",DDDD,0,"['G',3]",same,0.489772247
364,"[1, 2, 5, 8.5, 9]","[1, 2, 5, 8.5, 9]","No Scale, 1",UUDD,0,"['B',4]",same,0.967784879
62,"[1, 2, 5, 8, 9]","[1.5, 2, 5.5, 8, 9]","No Scale, 0.5",UUUU,2,"['G',3]",different,0.603680652
175,"[3, 6, 1, 5, 2]","[3, 4.0, -1.0, 5, 2]","No Scale, 2",DUDU,2,"['G',3]",different,0.179586493
119,"[11, 8, 5, 4, 1]","[11, 8, 3.0, 4, -1.0]","No Scale, 2",DDDD,2,"['G',3]",different,0.566019202
401,"[0.0, 4, 6, 3, 1]","[0.0, 4, 6, 3, 1]","No Scale, 0.5",UUDD,0,"['G',3]",same,0.295562316
718,"[3, 6, -1.0, 5, 4.0]","[3, 6, -1.0, 5, 4.0]","No Scale, 1",DUDU,0,"['G',3]",same,0.970309846
694,"[3.5, 6, 1, 5, 2.5]","[3.5, 6, 1, 5, 2.5]","No Scale, 1",UUUU,0,"['G',3]",same,0.31286542
136,"[2, 4, 6, 3, 1]","[2, 3.0, 6, 4.0, 1]","No Scale, 1",UUDD,2,"['G',3]",different,0.669021653
611,"[2.0, 3.0, 5, 8, 9]","[2.0, 3.0, 5, 8, 9]","No Scale, 1",UUDD,0,"['B',4]",same,0.466612704
484,"[2.5, 4, 6, 3, 1.5]","[2.5, 4, 6, 3, 1.5]","No Scale, 1",UUDD,0,"['B',4]",same,0.878132851
151,"[3, 6, 1, 5, 2]","[3.5, 6.5, 1, 5, 2]","No Scale, 0.5",DUDU,2,"['G',3]",different,0.210104645
496,"[2, 3.0, 6, 4.0, 1]","[2, 3.0, 6, 4.0, 1]","No Scale, 2",DUDU,0,"['B',4]",same,0.06765792
509,"[2, 4, 8.0, 3, 3.0]","[2, 4, 8.0, 3, 3.0]","No Scale, 1",UUUU,0,"['B',4]",same,0.112359933
313,"[2, 4, 6, 3, 1]","[1.0, 4, 6, 4.0, 1]","No Scale, 1",UUDD,2,"['B',4]",different,0.674734351
297,"[11, 8, 5, 4, 1]","[11, 10.0, 5, 4, 3.0]","No Scale, 2",DDDD,2,"['B',4]",different,0.151253858
32,"[2, 4, 6, 3, 1]","[2, 4.5, 6, 3, 1]","No Scale, 0.5",UUDD,1,"['G',3]",different,0.56390268
630,"[1, 2, 5, 10.0, 7.0]","[1, 2, 5, 10.0, 7.0]","No Scale, 1",DDDD,0,"['G',3]",same,0.408831126
661,"[2.5, 4.5, 6, 3, 1]","[2.5, 4.5, 6, 3, 1]","No Scale, 2",UUUU,0,"['B',4]",same,0.242903548
472,"[13.0, 8, 3.0, 4, 1]","[13.0, 8, 3.0, 4, 1]","No Scale, 1",UUUU,0,"['B',4]",same,0.548968965
268,"[1, 2, 5, 8, 9]","[1, 2, 3.0, 10.0, 9]","No Scale, 2",UUUU,2,"['B',4]",different,0.73574899
407,"[3, 6.5, 1, 5, 2]","[3, 6.5, 1, 5, 2]","No Scale, 2",DUDU,0,"['B',4]",same,0.807120381
493,"[1.0, 4, 6, 4.0, 1]","[1.0, 4, 6, 4.0, 1]","No Scale, 2",UUDD,0,"['B',4]",same,0.808530413
665,"[2, 4.5, 5.5, 3, 1]","[2, 4.5, 5.5, 3, 1]","No Scale, 1",DUDU,0,"['B',4]",same,0.283718175
267,"[1, 2, 5, 8, 9]","[1, 4.0, 5, 8, 7.0]","No Scale, 2",UUUU,2,"['B',4]",different,0.810138084
158,"[3, 6, 1, 5, 2]","[3, 6, 1.5, 5.5, 2]","No Scale, 0.5",DUDU,2,"['G',3]",different,0.987812179
588,"[3, 6, 0.5, 5, 2]","[3, 6, 0.5, 5, 2]","No Scale, 0.5",UUDD,0,"['B',4]",same,0.454166627
450,"[1, 2, 5, 10.0, 7.0]","[1, 2, 5, 10.0, 7.0]","No Scale, 0.5",DDDD,0,"['G',3]",same,0.206754257
659,"[11, 8, 3.0, 4, -1.0]","[11, 8, 3.0, 4, -1.0]","No Scale, 0.5",UUDD,0,"['G',3]",same,0.231394103
287,"[11, 8, 5, 4, 1]","[11, 7.0, 5, 4, 0.0]","No Scale, 1",DDDD,2,"['B',4]",different,0.146660535
174,"[3, 6, 1, 5, 2]","[5.0, 6, 1, 5, 0.0]","No Scale, 2",DUDU,2,"['G',3]",different,0.339165676
536,"[3, 4.0, 1, 7.0, 2]","[3, 4.0, 1, 7.0, 2]","No Scale, 1",DUDU,0,"['B',4]",same,0.569361767
73,"[1, 2, 5, 8, 9]","[0.0, 2, 5, 7.0, 9]","No Scale, 1",UUUU,2,"['G',3]",different,0.083996106
323,"[2, 4, 6, 3, 1]","[0.0, 4, 6, 5.0, 1]","No Scale, 2",UUDD,2,"['B',4]",different,0.690158337
640,"[11, 8, 5, 4.5, 1.5]","[11, 8, 5, 4.5, 1.5]","No Scale, 0.5",UUUU,0,"['G',3]",same,0.838226512
621,"[3.0, 4.0, 5, 8, 9]","[3.0, 4.0, 5, 8, 9]","No Scale, 0.5",DUDU,0,"['G',3]",same,0.346794021
100,"[11, 8, 5, 4, 1]","[11, 8, 5, 4.5, 1.5]","No Scale, 0.5",DDDD,2,"['G',3]",different,0.904971032
504,"[0.0, 4, 6, 3, -1.0]","[0.0, 4, 6, 3, -1.0]","No Scale, 1",UUUU,0,"['G',3]",same,0.558050519
669,"[2, 4, 6.5, 3, 1.5]","[2, 4, 6.5, 3, 1.5]","No Scale, 0.5",DUDU,0,"['G',3]",same,0.652500654
358,"[3, 6, 1, 5, 2]","[3, 6, -1.0, 5, 4.0]","No Scale, 2",DUDU,2,"['B',4]",different,0.137319654
89,"[1, 2, 5, 8, 9]","[1, 2, 7.0, 8, 7.0]","No Scale, 2",UUUU,2,"['G',3]",different,0.669851867
191,"[1, 2, 5, 8, 9]","[-1.0, 2, 5, 8, 9]","No Scale, 2",UUUU,1,"['B',4]",different,0.720707364
671,"[1.0, 3.0, 6, 3, 1]","[1.0, 3.0, 6, 3, 1]","No Scale, 0.5",DUDU,0,"['B',4]",same,0.010785936
449,"[1, 2, 7.0, 8, 7.0]","[1, 2, 7.0, 8, 7.0]","No Scale, 0.5",DDDD,0,"['B',4]",same,0.14520634
290,"[11, 8, 5, 4, 1]","[11, 8, 5, 3.0, 2.0]","No Scale, 1",DDDD,2,"['B',4]",different,0.014440217
451,"[10.5, 8.5, 5, 4, 1]","[10.5, 8.5, 5, 4, 1]","No Scale, 0.5",DUDU,0,"['G',3]",same,0.272912879
707,"[3, 5.0, 1, 5, 1.0]","[3, 5.0, 1, 5, 1.0]","No Scale, 0.5",DUDU,0,"['B',4]",same,0.624811043
139,"[2, 4, 6, 3, 1]","[2, 4, 5.0, 3, 2.0]","No Scale, 1",UUDD,2,"['G',3]",different,0.973445747
140,"[2, 4, 6, 3, 1]","[2, 4, 6, 4.0, 2.0]","No Scale, 1",UUDD,2,"['G',3]",different,0.092384382
463,"[10.0, 8, 5, 3.0, 1]","[10.0, 8, 5, 3.0, 1]","No Scale, 0.5",UUDD,0,"['B',4]",same,0.476559888
539,"[3, 6, -1.0, 5, 4.0]","[3, 6, -1.0, 5, 4.0]","No Scale, 2",UUDD,0,"['B',4]",same,0.486560117
254,"[1, 2, 5, 8, 9]","[0.0, 2, 5, 8, 10.0]","No Scale, 1",UUUU,2,"['B',4]",different,0.587551476
76,"[1, 2, 5, 8, 9]","[1, 3.0, 5, 7.0, 9]","No Scale, 1",UUUU,2,"['G',3]",different,0.037709973
307,"[2, 4, 6, 3, 1]","[2, 3.5, 6, 3, 1.5]","No Scale, 0.5",UUDD,2,"['B',4]",different,0.877164659
438,"[1, 2, 6.0, 7.0, 9]","[1, 2, 6.0, 7.0, 9]","No Scale, 1",DDDD,0,"['G',3]",same,0.430579231
512,"[2.5, 6, 1.5, 5, 2]","[2.5, 6, 1.5, 5, 2]","No Scale, 2",DUDU,0,"['B',4]",same,0.481056902
354,"[3, 6, 1, 5, 2]","[3, 4.0, -1.0, 5, 2]","No Scale, 2",DUDU,2,"['B',4]",different,0.228460356
457,"[11, 8.5, 5, 4, 0.5]","[11, 8.5, 5, 4, 0.5]","No Scale, 2",UUUU,0,"['G',3]",same,0.681052603
461,"[12.0, 7.0, 5, 4, 1]","[12.0, 7.0, 5, 4, 1]","No Scale, 2",DDDD,0,"['G',3]",same,0.730928293
551,"[-1.0, 2, 5, 8, 9]","[-1.0, 2, 5, 8, 9]","No Scale, 0.5",UUUU,0,"['G',3]",same,0.393195021
54,"[3, 6, 1, 5, 2]","[3, 6, 1, 4.0, 2]","No Scale, 1",DUDU,1,"['G',3]",different,0.245238527
61,"[1, 2, 5, 8, 9]","[0.5, 1.5, 5, 8, 9]","No Scale, 0.5",UUUU,2,"['G',3]",different,0.518438386
112,"[11, 8, 5, 4, 1]","[13.0, 8, 3.0, 4, 1]","No Scale, 2",DDDD,2,"['G',3]",different,0.299435037
711,"[5.0, 4.0, 1, 5, 2]","[5.0, 4.0, 1, 5, 2]","No Scale, 2",DUDU,0,"['B',4]",same,0.897988082
284,"[11, 8, 5, 4, 1]","[12.0, 8, 5, 4, 0.0]","No Scale, 1",DDDD,2,"['B',4]",different,0.730038113
516,"[3, 5.5, 1, 4.5, 2]","[3, 5.5, 1, 4.5, 2]","No Scale, 2",DUDU,0,"['G',3]",same,0.019886399
478,"[11, 8, 3.0, 2.0, 1]","[11, 8, 3.0, 2.0, 1]","No Scale, 0.5",UUDD,0,"['G',3]",same,0.659818922
104,"[11, 8, 5, 4, 1]","[12.0, 8, 5, 4, 0.0]","No Scale, 1",DDDD,2,"['G',3]",different,0.327141407
145,"[2, 4, 6, 3, 1]","[2, 6.0, 8.0, 3, 1]","No Scale, 2",UUDD,2,"['G',3]",different,0.172128238
526,"[3, 7.0, 1, 6.0, 2]","[3, 7.0, 1, 6.0, 2]","No Scale, 0.5",UUDD,0,"['G',3]",same,0.273843515
52,"[3, 6, 1, 5, 2]","[3, 5.0, 1, 5, 2]","No Scale, 1",DUDU,1,"['G',3]",different,0.62420087
533,"[5.0, 6, 1, 3.0, 2]","[5.0, 6, 1, 3.0, 2]","No Scale, 0.5",UUUU,0,"['G',3]",same,0.19466596
41,"[2, 4, 6, 3, 1]","[0.0, 4, 6, 3, 1]","No Scale, 2",UUDD,1,"['G',3]",different,0.076844875
26,"[11, 8, 5, 4, 1]","[13.0, 8, 5, 4, 1]","No Scale, 2",DDDD,1,"['G',3]",different,0.78328644
231,"[3, 6, 1, 5, 2]","[2.0, 6, 1, 5, 2]","No Scale, 1",DUDU,1,"['B',4]",different,0.444697028
719,"[3, 6, 1, 7.0, 4.0]","[3, 6, 1, 7.0, 4.0]","No Scale, 1",DUDU,0,"['G',3]",same,0.458445166
88,"[1, 2, 5, 8, 9]","[1, 2, 3.0, 10.0, 9]","No Scale, 2",UUUU,2,"['G',3]",different,0.066300387
459,"[11, 8, 5.5, 4, 1.5]","[11, 8, 5.5, 4, 1.5]","No Scale, 2",DUDU,0,"['G',3]",same,0.508627618
596,"[5.0, 6, 1, 5, 2]","[5.0, 6, 1, 5, 2]","No Scale, 2",UUDD,0,"['G',3]",same,0.822150727
318,"[2, 4, 6, 3, 1]","[2, 4, 7.0, 4.0, 1]","No Scale, 1",UUDD,2,"['B',4]",different,0.950196759
81,"[1, 2, 5, 8, 9]","[3.0, 4.0, 5, 8, 9]","No Scale, 2",UUUU,2,"['G',3]",different,0.353041701
248,"[1, 2, 5, 8, 9]","[1, 2, 4.5, 7.5, 9]","No Scale, 0.5",UUUU,2,"['B',4]",different,0.367128919
712,"[5.0, 6, -1.0, 5, 2]","[5.0, 6, -1.0, 5, 2]","No Scale, 1",DDDD,0,"['G',3]",same,0.374592047
192,"[1, 2, 5, 8, 9]","[1, 0.0, 5, 8, 9]","No Scale, 2",UUUU,1,"['B',4]",different,0.083405088
650,"[11, 8, 5, 3.0, 2.0]","[11, 8, 5, 3.0, 2.0]","No Scale, 0.5",DDDD,0,"['G',3]",same,0.920189473
339,"[3, 6, 1, 5, 2]","[3, 6, 0.5, 5, 1.5]","No Scale, 0.5",DUDU,2,"['B',4]",different,0.460114945
113,"[11, 8, 5, 4, 1]","[13.0, 8, 5, 2.0, 1]","No Scale, 2",DDDD,2,"['G',3]",different,0.857525772
282,"[11, 8, 5, 4, 1]","[12.0, 8, 4.0, 4, 1]","No Scale, 1",DDDD,2,"['B',4]",different,0.086369989
422,"[1.5, 2, 5.5, 8, 9]","[1.5, 2, 5.5, 8, 9]","No Scale, 0.5",UUDD,0,"['G',3]",same,0.14164807
280,"[11, 8, 5, 4, 1]","[11, 8, 5, 4.5, 1.5]","No Scale, 0.5",DDDD,2,"['B',4]",different,0.525822674
348,"[3, 6, 1, 5, 2]","[3, 6, 0.0, 6.0, 2]","No Scale, 1",DUDU,2,"['B',4]",different,0.379321409
144,"[2, 4, 6, 3, 1]","[0.0, 4, 6, 3, -1.0]","No Scale, 2",UUDD,2,"['G',3]",different,0.333937696
365,"[1, 2, 5, 8, 8.5]","[1, 2, 5, 8, 8.5]","No Scale, 2",DDDD,0,"['B',4]",same,0.029588296
399,"[2, 4, 6, 4.0, 1]","[2, 4, 6, 4.0, 1]","No Scale, 2",UUUU,0,"['B',4]",same,0.848031381
447,"[1, 4.0, 5, 8, 7.0]","[1, 4.0, 5, 8, 7.0]","No Scale, 1",DDDD,0,"['B',4]",same,0.796779842
220,"[2, 4, 6, 3, 1]","[2, 4, 6, 3, 0.0]","No Scale, 1",UUDD,1,"['B',4]",different,0.649436655
585,"[2, 4, 6, 3, -1.0]","[2, 4, 6, 3, -1.0]","No Scale, 1",DUDU,0,"['G',3]",same,0.550710218
269,"[1, 2, 5, 8, 9]","[1, 2, 7.0, 8, 7.0]","No Scale, 2",UUUU,2,"['B',4]",different,0.552661935
469,"[11, 8, 4.0, 4, 0.0]","[11, 8, 4.0, 4, 0.0]","No Scale, 2",UUDD,0,"['G',3]",same,0.733177002
278,"[11, 8, 5, 4, 1]","[11, 8, 4.5, 4.5, 1]","No Scale, 0.5",DDDD,2,"['B',4]",different,0.519144386
708,"[3, 6, 0.0, 6.0, 2]","[3, 6, 0.0, 6.0, 2]","No Scale, 2",DDDD,0,"['B',4]",same,0.74251312
115,"[11, 8, 5, 4, 1]","[11, 10.0, 7.0, 4, 1]","No Scale, 2",DDDD,2,"['G',3]",different,0.784935015
103,"[11, 8, 5, 4, 1]","[10.0, 8, 5, 3.0, 1]","No Scale, 1",DDDD,2,"['G',3]",different,0.644644652
629,"[1, 2, 7.0, 8, 7.0]","[1, 2, 7.0, 8, 7.0]","No Scale, 0.5",DUDU,0,"['B',4]",same,0.89506334
642,"[12.0, 8, 4.0, 4, 1]","[12.0, 8, 4.0, 4, 1]","No Scale, 1",DDDD,0,"['G',3]",same,0.951077494
213,"[2, 4, 6, 3, 1]","[2, 4, 5.5, 3, 1]","No Scale, 0.5",UUDD,1,"['B',4]",different,0.563470938
181,"[1, 2, 5, 8, 9]","[1.5, 2, 5, 8, 9]","No Scale, 0.5",UUUU,1,"['B',4]",different,0.957589624
187,"[1, 2, 5, 8, 9]","[1, 3.0, 5, 8, 9]","No Scale, 1",UUUU,1,"['B',4]",different,0.311469981
465,"[11, 7.0, 6.0, 4, 1]","[11, 7.0, 6.0, 4, 1]","No Scale, 0.5",DUDU,0,"['G',3]",same,0.178573906
106,"[11, 8, 5, 4, 1]","[11, 7.0, 5, 5.0, 1]","No Scale, 1",DDDD,2,"['G',3]",different,0.359988974
374,"[1, 2, 5, 10.0, 9]","[1, 2, 5, 10.0, 9]","No Scale, 2",UUDD,0,"['B',4]",same,0.261980196
153,"[3, 6, 1, 5, 2]","[3.5, 6, 1, 4.5, 2]","No Scale, 0.5",DUDU,2,"['G',3]",different,0.90447662
698,"[3, 6, 1.5, 5.5, 2]","[3, 6, 1.5, 5.5, 2]","No Scale, 0.5",UUDD,0,"['B',4]",same,0.259595806
408,"[3, 6, 0.5, 5, 2]","[3, 6, 0.5, 5, 2]","No Scale, 0.5",UUUU,0,"['G',3]",same,0.151677854
581,"[0.0, 4, 6, 3, 1]","[0.0, 4, 6, 3, 1]","No Scale, 2",UUUU,0,"['B',4]",same,0.043630921
298,"[11, 8, 5, 4, 1]","[11, 8, 3.0, 2.0, 1]","No Scale, 2",DDDD,2,"['B',4]",different,0.711690951
606,"[1, 2.5, 5, 7.5, 9]","[1, 2.5, 5, 7.5, 9]","No Scale, 1",UUDD,0,"['B',4]",same,0.502749632
715,"[3, 4.0, 1, 7.0, 2]","[3, 4.0, 1, 7.0, 2]","No Scale, 1",DUDU,0,"['G',3]",same,0.951962399
271,"[11, 8, 5, 4, 1]","[10.5, 8.5, 5, 4, 1]","No Scale, 0.5",DDDD,2,"['B',4]",different,0.451211194
529,"[3, 6, 2.0, 5, 3.0]","[3, 6, 2.0, 5, 3.0]","No Scale, 0.5",UUUU,0,"['G',3]",same,0.931514803
