Item_Number,Natural_Order,soundA,soundB,Details,Contour,Notes_Different,diff1,diff2,root,Answer,Random_Order
54,2,"[1, 2, 5, 8, 9]","[1, 2.5, 5, 8, 9]","No Scale, 0.5",UUUU,1,two,none,"['G', 3]",different,0.826384259
55,655,"[11, 10.0, 7.0, 4, 1]","[11, 10.0, 7.0, 4, 1]","No Scale, 1",DDDD,0,none,none,"['B', 4]",same,0.073649484
56,135,"[2, 4, 6, 3, 1]","[2, 5.0, 7.0, 3, 1]","No Scale, 1",UUDD,2,two,three,"['G', 3]",different,0.193361953
57,235,"[3, 6, 1, 5, 2]","[3, 6, 1, 5, 1.0]","No Scale, 1",UDUD,1,five,none,"['B', 4]",different,0.453112911
58,482,"[1.5, 4, 6.5, 3, 1]","[1.5, 4, 6.5, 3, 1]","No Scale, 2",UUDD,0,none,none,"['G', 3]",same,0.863727627
59,33,"[2, 4, 6, 3, 1]","[2, 4, 5.5, 3, 1]","No Scale, 0.5",UUDD,1,three,none,"['G', 3]",different,0.380805552
60,161,"[3, 6, 1, 5, 2]","[2.0, 5.0, 1, 5, 2]","No Scale, 1",UDUD,2,one,two,"['G', 3]",different,0.101755796
61,610,"[1, 2, 5, 8.5, 8.5]","[1, 2, 5, 8.5, 8.5]","No Scale, 2",UUUU,0,none,none,"['B', 4]",same,0.32118067
62,16,"[11, 8, 5, 4, 1]","[11.5, 8, 5, 4, 1]","No Scale, 0.5",DDDD,1,one,none,"['G', 3]",different,0.55262189
63,317,"[2, 4, 6, 3, 1]","[2, 3.0, 6, 3, 0.0]","No Scale, 1",UUDD,2,two,five,"['B', 4]",different,0.48077327
64,454,"[11.5, 8, 5, 4, 0.5]","[11.5, 8, 5, 4, 0.5]","No Scale, 2",DDDD,0,none,none,"['B', 4]",same,0.145702792
65,445,"[1, 0.0, 3.0, 8, 9]","[1, 0.0, 3.0, 8, 9]","No Scale, 1",DUUU,0,none,none,"['B', 4]",same,0.329328719
66,116,"[11, 8, 5, 4, 1]","[11, 6.0, 5, 6.0, 1]","No Scale, 2",DDDD,2,two,four,"['G', 3]",different,0.923888704
67,607,"[1, 1.5, 5, 8, 8.5]","[1, 1.5, 5, 8, 8.5]","No Scale, 1",UUUU,0,none,none,"['G', 3]",same,0.162147954
68,514,"[3.5, 6, 1, 5, 2.5]","[3.5, 6, 1, 5, 2.5]","No Scale, 0.5",UDUD,0,none,none,"['B', 4]",same,0.308359619
69,128,"[2, 4, 6, 3, 1]","[2, 4, 6.5, 3.5, 1]","No Scale, 0.5",UUDD,2,three,four,"['G', 3]",different,0.724500868
70,253,"[1, 2, 5, 8, 9]","[0.0, 2, 5, 7.0, 9]","No Scale, 1",UUUU,2,one,four,"['B', 4]",different,0.702256575
71,546,"[0.0, 2, 5, 8, 9]","[0.0, 2, 5, 8, 9]","No Scale, 2",UUUU,0,none,none,"['G', 3]",same,0.50851478
72,204,"[11, 8, 5, 4, 1]","[11, 8, 5, 5.0, 1]","No Scale, 1",DDDD,1,four,none,"['B', 4]",different,0.135936933
73,129,"[2, 4, 6, 3, 1]","[2, 4, 6.5, 3, 1.5]","No Scale, 0.5",UUDD,2,three,five,"['G', 3]",different,0.171722463
74,442,"[3.0, 2, 3.0, 8, 9]","[3.0, 2, 3.0, 8, 9]","No Scale, 1",DUUU,0,none,none,"['B', 4]",same,0.416211972
75,172,"[3, 6, 1, 5, 2]","[5.0, 6, -1.0, 5, 2]","No Scale, 2",UDUD,2,one,three,"['G', 3]",different,0.654923788
76,38,"[2, 4, 6, 3, 1]","[2, 4, 5.0, 3, 1]","No Scale, 1",UUDD,1,three,none,"['G', 3]",different,0.076171007
77,485,"[2, 4.5, 5.5, 3, 1]","[2, 4.5, 5.5, 3, 1]","No Scale, 1",UUDD,0,none,none,"['G', 3]",same,0.489772247
78,364,"[1, 2, 5, 8.5, 9]","[1, 2, 5, 8.5, 9]","No Scale, 1",UUUU,0,none,none,"['B', 4]",same,0.967784879
79,62,"[1, 2, 5, 8, 9]","[1.5, 2, 5.5, 8, 9]","No Scale, 0.5",UUUU,2,one,three,"['G', 3]",different,0.603680652
80,175,"[3, 6, 1, 5, 2]","[3, 4.0, -1.0, 5, 2]","No Scale, 2",UDUD,2,two,three,"['G', 3]",different,0.179586493
81,119,"[11, 8, 5, 4, 1]","[11, 8, 3.0, 4, -1.0]","No Scale, 2",DDDD,2,three,five,"['G', 3]",different,0.566019202
82,401,"[0.0, 4, 6, 3, 1]","[0.0, 4, 6, 3, 1]","No Scale, 0.5",UUDD,0,none,none,"['G', 3]",same,0.295562316
83,718,"[3, 6, -1.0, 5, 4.0]","[3, 6, -1.0, 5, 4.0]","No Scale, 1",UDUD,0,none,none,"['G', 3]",same,0.970309846
84,694,"[3.5, 6, 1, 5, 2.5]","[3.5, 6, 1, 5, 2.5]","No Scale, 1",UDUD,0,none,none,"['G', 3]",same,0.31286542
85,136,"[2, 4, 6, 3, 1]","[2, 3.0, 6, 4.0, 1]","No Scale, 1",UUDD,2,two,four,"['G', 3]",different,0.669021653
86,611,"[2.0, 3.0, 5, 8, 9]","[2.0, 3.0, 5, 8, 9]","No Scale, 1",UUUU,0,none,none,"['B', 4]",same,0.466612704
87,484,"[2.5, 4, 6, 3, 1.5]","[2.5, 4, 6, 3, 1.5]","No Scale, 1",UUDD,0,none,none,"['B', 4]",same,0.878132851
88,151,"[3, 6, 1, 5, 2]","[3.5, 6.5, 1, 5, 2]","No Scale, 0.5",UDUD,2,one,two,"['G', 3]",different,0.210104645
89,496,"[2, 3.0, 6, 4.0, 1]","[2, 3.0, 6, 4.0, 1]","No Scale, 2",UUDD,0,none,none,"['B', 4]",same,0.06765792
90,509,"[2, 4, 8.0, 3, 3.0]","[2, 4, 8.0, 3, 3.0]","No Scale, 1",UUDD,0,none,none,"['B', 4]",same,0.112359933
91,313,"[2, 4, 6, 3, 1]","[1.0, 4, 6, 4.0, 1]","No Scale, 1",UUDD,2,one,four,"['B', 4]",different,0.674734351
92,297,"[11, 8, 5, 4, 1]","[11, 10.0, 5, 4, 3.0]","No Scale, 2",DDDD,2,two,five,"['B', 4]",different,0.151253858
93,32,"[2, 4, 6, 3, 1]","[2, 4.5, 6, 3, 1]","No Scale, 0.5",UUDD,1,two,none,"['G', 3]",different,0.56390268
94,630,"[1, 2, 5, 10.0, 7.0]","[1, 2, 5, 10.0, 7.0]","No Scale, 1",UUUD,0,none,none,"['G', 3]",same,0.408831126
95,661,"[2.5, 4.5, 6, 3, 1]","[2.5, 4.5, 6, 3, 1]","No Scale, 2",UUDD,0,none,none,"['B', 4]",same,0.242903548
96,472,"[13.0, 8, 3.0, 4, 1]","[13.0, 8, 3.0, 4, 1]","No Scale, 1",DDUD,0,none,none,"['B', 4]",same,0.548968965
97,268,"[1, 2, 5, 8, 9]","[1, 2, 3.0, 10.0, 9]","No Scale, 2",UUUU,2,three,four,"['B', 4]",different,0.73574899
98,407,"[3, 6.5, 1, 5, 2]","[3, 6.5, 1, 5, 2]","No Scale, 2",UDUD,0,none,none,"['B', 4]",same,0.807120381
99,493,"[1.0, 4, 6, 4.0, 1]","[1.0, 4, 6, 4.0, 1]","No Scale, 2",UUDD,0,none,none,"['B', 4]",same,0.808530413
100,665,"[2, 4.5, 5.5, 3, 1]","[2, 4.5, 5.5, 3, 1]","No Scale, 1",UUDD,0,none,none,"['B', 4]",same,0.283718175
101,267,"[1, 2, 5, 8, 9]","[1, 4.0, 5, 8, 7.0]","No Scale, 2",UUUU,2,two,five,"['B', 4]",different,0.810138084
102,158,"[3, 6, 1, 5, 2]","[3, 6, 1.5, 5.5, 2]","No Scale, 0.5",UDUD,2,three,four,"['G', 3]",different,0.987812179
103,588,"[3, 6, 0.5, 5, 2]","[3, 6, 0.5, 5, 2]","No Scale, 0.5",UDUD,0,none,none,"['B', 4]",same,0.454166627
104,450,"[1, 2, 5, 10.0, 7.0]","[1, 2, 5, 10.0, 7.0]","No Scale, 0.5",UUUD,0,none,none,"['G', 3]",same,0.206754257
105,659,"[11, 8, 3.0, 4, -1.0]","[11, 8, 3.0, 4, -1.0]","No Scale, 0.5",DDUD,0,none,none,"['G', 3]",same,0.231394103
106,287,"[11, 8, 5, 4, 1]","[11, 7.0, 5, 4, 0.0]","No Scale, 1",DDDD,2,two,five,"['B', 4]",different,0.146660535
107,174,"[3, 6, 1, 5, 2]","[5.0, 6, 1, 5, 0.0]","No Scale, 2",UDUD,2,one,five,"['G', 3]",different,0.339165676
108,536,"[3, 4.0, 1, 7.0, 2]","[3, 4.0, 1, 7.0, 2]","No Scale, 1",UDUD,0,none,none,"['B', 4]",same,0.569361767
109,73,"[1, 2, 5, 8, 9]","[0.0, 2, 5, 7.0, 9]","No Scale, 1",UUUU,2,one,four,"['G', 3]",different,0.083996106
110,323,"[2, 4, 6, 3, 1]","[0.0, 4, 6, 5.0, 1]","No Scale, 2",UUDD,2,one,four,"['B', 4]",different,0.690158337
111,640,"[11, 8, 5, 4.5, 1.5]","[11, 8, 5, 4.5, 1.5]","No Scale, 0.5",DDDD,0,none,none,"['G', 3]",same,0.838226512
112,621,"[3.0, 4.0, 5, 8, 9]","[3.0, 4.0, 5, 8, 9]","No Scale, 0.5",UUUU,0,none,none,"['G', 3]",same,0.346794021
113,100,"[11, 8, 5, 4, 1]","[11, 8, 5, 4.5, 1.5]","No Scale, 0.5",DDDD,2,four,five,"['G', 3]",different,0.904971032
114,504,"[0.0, 4, 6, 3, -1.0]","[0.0, 4, 6, 3, -1.0]","No Scale, 1",UUDD,0,none,none,"['G', 3]",same,0.558050519
115,669,"[2, 4, 6.5, 3, 1.5]","[2, 4, 6.5, 3, 1.5]","No Scale, 0.5",UUDD,0,none,none,"['G', 3]",same,0.652500654
116,358,"[3, 6, 1, 5, 2]","[3, 6, -1.0, 5, 4.0]","No Scale, 2",UDUD,2,three,five,"['B', 4]",different,0.137319654
117,89,"[1, 2, 5, 8, 9]","[1, 2, 7.0, 8, 7.0]","No Scale, 2",UUUU,2,three,five,"['G', 3]",different,0.669851867
118,191,"[1, 2, 5, 8, 9]","[-1.0, 2, 5, 8, 9]","No Scale, 2",UUUU,1,one,none,"['B', 4]",different,0.720707364
119,671,"[1.0, 3.0, 6, 3, 1]","[1.0, 3.0, 6, 3, 1]","No Scale, 0.5",UUDD,0,none,none,"['B', 4]",same,0.010785936
120,449,"[1, 2, 7.0, 8, 7.0]","[1, 2, 7.0, 8, 7.0]","No Scale, 0.5",UUUD,0,none,none,"['B', 4]",same,0.14520634
121,290,"[11, 8, 5, 4, 1]","[11, 8, 5, 3.0, 2.0]","No Scale, 1",DDDD,2,four,five,"['B', 4]",different,0.014440217
122,451,"[10.5, 8.5, 5, 4, 1]","[10.5, 8.5, 5, 4, 1]","No Scale, 0.5",DDDD,0,none,none,"['G', 3]",same,0.272912879
123,707,"[3, 5.0, 1, 5, 1.0]","[3, 5.0, 1, 5, 1.0]","No Scale, 0.5",UDUD,0,none,none,"['B', 4]",same,0.624811043
124,139,"[2, 4, 6, 3, 1]","[2, 4, 5.0, 3, 2.0]","No Scale, 1",UUDD,2,three,five,"['G', 3]",different,0.973445747
125,140,"[2, 4, 6, 3, 1]","[2, 4, 6, 4.0, 2.0]","No Scale, 1",UUDD,2,four,five,"['G', 3]",different,0.092384382
126,463,"[10.0, 8, 5, 3.0, 1]","[10.0, 8, 5, 3.0, 1]","No Scale, 0.5",DDDD,0,none,none,"['B', 4]",same,0.476559888
127,539,"[3, 6, -1.0, 5, 4.0]","[3, 6, -1.0, 5, 4.0]","No Scale, 2",UDUD,0,none,none,"['B', 4]",same,0.486560117
128,254,"[1, 2, 5, 8, 9]","[0.0, 2, 5, 8, 10.0]","No Scale, 1",UUUU,2,one,five,"['B', 4]",different,0.587551476
129,76,"[1, 2, 5, 8, 9]","[1, 3.0, 5, 7.0, 9]","No Scale, 1",UUUU,2,two,four,"['G', 3]",different,0.037709973
130,307,"[2, 4, 6, 3, 1]","[2, 3.5, 6, 3, 1.5]","No Scale, 0.5",UUDD,2,two,five,"['B', 4]",different,0.877164659
131,438,"[1, 2, 6.0, 7.0, 9]","[1, 2, 6.0, 7.0, 9]","No Scale, 1",UUUU,0,none,none,"['G', 3]",same,0.430579231
132,512,"[2.5, 6, 1.5, 5, 2]","[2.5, 6, 1.5, 5, 2]","No Scale, 2",UDUD,0,none,none,"['B', 4]",same,0.481056902
133,354,"[3, 6, 1, 5, 2]","[3, 4.0, -1.0, 5, 2]","No Scale, 2",UDUD,2,two,three,"['B', 4]",different,0.228460356
134,457,"[11, 8.5, 5, 4, 0.5]","[11, 8.5, 5, 4, 0.5]","No Scale, 2",DDDD,0,none,none,"['G', 3]",same,0.681052603
135,461,"[12.0, 7.0, 5, 4, 1]","[12.0, 7.0, 5, 4, 1]","No Scale, 2",DDDD,0,none,none,"['G', 3]",same,0.730928293
136,551,"[-1.0, 2, 5, 8, 9]","[-1.0, 2, 5, 8, 9]","No Scale, 0.5",UUUU,0,none,none,"['G', 3]",same,0.393195021
137,54,"[3, 6, 1, 5, 2]","[3, 6, 1, 4.0, 2]","No Scale, 1",UDUD,1,four,none,"['G', 3]",different,0.245238527
138,61,"[1, 2, 5, 8, 9]","[0.5, 1.5, 5, 8, 9]","No Scale, 0.5",UUUU,2,one,two,"['G', 3]",different,0.518438386
139,112,"[11, 8, 5, 4, 1]","[13.0, 8, 3.0, 4, 1]","No Scale, 2",DDDD,2,one,three,"['G', 3]",different,0.299435037
140,711,"[5.0, 4.0, 1, 5, 2]","[5.0, 4.0, 1, 5, 2]","No Scale, 2",DDUD,0,none,none,"['B', 4]",same,0.897988082
141,284,"[11, 8, 5, 4, 1]","[12.0, 8, 5, 4, 0.0]","No Scale, 1",DDDD,2,one,five,"['B', 4]",different,0.730038113
142,516,"[3, 5.5, 1, 4.5, 2]","[3, 5.5, 1, 4.5, 2]","No Scale, 2",UDUD,0,none,none,"['G', 3]",same,0.019886399
143,478,"[11, 8, 3.0, 2.0, 1]","[11, 8, 3.0, 2.0, 1]","No Scale, 0.5",DDDD,0,none,none,"['G', 3]",same,0.659818922
144,104,"[11, 8, 5, 4, 1]","[12.0, 8, 5, 4, 0.0]","No Scale, 1",DDDD,2,one,five,"['G', 3]",different,0.327141407
145,145,"[2, 4, 6, 3, 1]","[2, 6.0, 8.0, 3, 1]","No Scale, 2",UUDD,2,two,three,"['G', 3]",different,0.172128238
146,526,"[3, 7.0, 1, 6.0, 2]","[3, 7.0, 1, 6.0, 2]","No Scale, 0.5",UDUD,0,none,none,"['G', 3]",same,0.273843515
147,52,"[3, 6, 1, 5, 2]","[3, 5.0, 1, 5, 2]","No Scale, 1",UDUD,1,two,none,"['G', 3]",different,0.62420087
148,533,"[5.0, 6, 1, 3.0, 2]","[5.0, 6, 1, 3.0, 2]","No Scale, 0.5",UDUD,0,none,none,"['G', 3]",same,0.19466596
149,41,"[2, 4, 6, 3, 1]","[0.0, 4, 6, 3, 1]","No Scale, 2",UUDD,1,one,none,"['G', 3]",different,0.076844875
150,26,"[11, 8, 5, 4, 1]","[13.0, 8, 5, 4, 1]","No Scale, 2",DDDD,1,one,none,"['G', 3]",different,0.78328644
151,231,"[3, 6, 1, 5, 2]","[2.0, 6, 1, 5, 2]","No Scale, 1",UDUD,1,one,none,"['B', 4]",different,0.444697028
152,719,"[3, 6, 1, 7.0, 4.0]","[3, 6, 1, 7.0, 4.0]","No Scale, 1",UDUD,0,none,none,"['G', 3]",same,0.458445166
153,88,"[1, 2, 5, 8, 9]","[1, 2, 3.0, 10.0, 9]","No Scale, 2",UUUU,2,three,four,"['G', 3]",different,0.066300387
154,459,"[11, 8, 5.5, 4, 1.5]","[11, 8, 5.5, 4, 1.5]","No Scale, 2",DDDD,0,none,none,"['G', 3]",same,0.508627618
155,596,"[5.0, 6, 1, 5, 2]","[5.0, 6, 1, 5, 2]","No Scale, 2",UDUD,0,none,none,"['G', 3]",same,0.822150727
156,318,"[2, 4, 6, 3, 1]","[2, 4, 7.0, 4.0, 1]","No Scale, 1",UUDD,2,three,four,"['B', 4]",different,0.950196759
157,81,"[1, 2, 5, 8, 9]","[3.0, 4.0, 5, 8, 9]","No Scale, 2",UUUU,2,one,two,"['G', 3]",different,0.353041701
158,248,"[1, 2, 5, 8, 9]","[1, 2, 4.5, 7.5, 9]","No Scale, 0.5",UUUU,2,three,four,"['B', 4]",different,0.367128919
159,712,"[5.0, 6, -1.0, 5, 2]","[5.0, 6, -1.0, 5, 2]","No Scale, 1",UDUD,0,none,none,"['G', 3]",same,0.374592047
160,192,"[1, 2, 5, 8, 9]","[1, 0.0, 5, 8, 9]","No Scale, 2",UUUU,1,two,none,"['B', 4]",different,0.083405088
161,650,"[11, 8, 5, 3.0, 2.0]","[11, 8, 5, 3.0, 2.0]","No Scale, 0.5",DDDD,0,none,none,"['G', 3]",same,0.920189473
162,339,"[3, 6, 1, 5, 2]","[3, 6, 0.5, 5, 1.5]","No Scale, 0.5",UDUD,2,three,five,"['B', 4]",different,0.460114945
163,113,"[11, 8, 5, 4, 1]","[13.0, 8, 5, 2.0, 1]","No Scale, 2",DDDD,2,one,four,"['G', 3]",different,0.857525772
164,282,"[11, 8, 5, 4, 1]","[12.0, 8, 4.0, 4, 1]","No Scale, 1",DDDD,2,one,three,"['B', 4]",different,0.086369989
165,422,"[1.5, 2, 5.5, 8, 9]","[1.5, 2, 5.5, 8, 9]","No Scale, 0.5",UUUU,0,none,none,"['G', 3]",same,0.14164807
166,280,"[11, 8, 5, 4, 1]","[11, 8, 5, 4.5, 1.5]","No Scale, 0.5",DDDD,2,four,five,"['B', 4]",different,0.525822674
167,348,"[3, 6, 1, 5, 2]","[3, 6, 0.0, 6.0, 2]","No Scale, 1",UDUD,2,three,four,"['B', 4]",different,0.379321409
168,144,"[2, 4, 6, 3, 1]","[0.0, 4, 6, 3, -1.0]","No Scale, 2",UUDD,2,one,five,"['G', 3]",different,0.333937696
169,365,"[1, 2, 5, 8, 8.5]","[1, 2, 5, 8, 8.5]","No Scale, 2",UUUU,0,none,none,"['B', 4]",same,0.029588296
170,399,"[2, 4, 6, 4.0, 1]","[2, 4, 6, 4.0, 1]","No Scale, 2",UUDD,0,none,none,"['B', 4]",same,0.848031381
171,447,"[1, 4.0, 5, 8, 7.0]","[1, 4.0, 5, 8, 7.0]","No Scale, 1",UUUD,0,none,none,"['B', 4]",same,0.796779842
172,220,"[2, 4, 6, 3, 1]","[2, 4, 6, 3, 0.0]","No Scale, 1",UUDD,1,five,none,"['B', 4]",different,0.649436655
173,585,"[2, 4, 6, 3, -1.0]","[2, 4, 6, 3, -1.0]","No Scale, 1",UUDD,0,none,none,"['G', 3]",same,0.550710218
174,269,"[1, 2, 5, 8, 9]","[1, 2, 7.0, 8, 7.0]","No Scale, 2",UUUU,2,three,five,"['B', 4]",different,0.552661935
175,469,"[11, 8, 4.0, 4, 0.0]","[11, 8, 4.0, 4, 0.0]","No Scale, 2",DDDD,0,none,none,"['G', 3]",same,0.733177002
176,278,"[11, 8, 5, 4, 1]","[11, 8, 4.5, 4.5, 1]","No Scale, 0.5",DDDD,2,three,four,"['B', 4]",different,0.519144386
177,708,"[3, 6, 0.0, 6.0, 2]","[3, 6, 0.0, 6.0, 2]","No Scale, 2",UDUD,0,none,none,"['B', 4]",same,0.74251312
178,115,"[11, 8, 5, 4, 1]","[11, 10.0, 7.0, 4, 1]","No Scale, 2",DDDD,2,two,three,"['G', 3]",different,0.784935015
179,103,"[11, 8, 5, 4, 1]","[10.0, 8, 5, 3.0, 1]","No Scale, 1",DDDD,2,one,four,"['G', 3]",different,0.644644652
