Item_Number,Natural_Order,soundA,soundB,Details,Contour,Notes_Different,diff1,diff2,root,Answer,Random_Order
496,367,"[1, 3.0, 5, 8, 9]","[1, 3.0, 5, 8, 9]","No Scale, 0.5",UUUU,0,none,none,"['G', 3]",same,0.753479335
497,222,"[2, 4, 6, 3, 1]","[2, 2.0, 6, 3, 1]","No Scale, 2",UUDD,1,two,none,"['B', 4]",different,0.992048129
498,613,"[0.0, 2, 5, 7.0, 9]","[0.0, 2, 5, 7.0, 9]","No Scale, 2",UUUU,0,none,none,"['G', 3]",same,0.452567974
499,256,"[1, 2, 5, 8, 9]","[1, 3.0, 5, 7.0, 9]","No Scale, 1",UUUU,2,two,four,"['B', 4]",different,0.058654776
500,173,"[3, 6, 1, 5, 2]","[5.0, 6, 1, 3.0, 2]","No Scale, 2",UDUD,2,one,four,"['G', 3]",different,0.380253775
501,217,"[2, 4, 6, 3, 1]","[2, 5.0, 6, 3, 1]","No Scale, 1",UUDD,1,two,none,"['B', 4]",different,0.14664111
502,670,"[2, 4, 6, 3.5, 0.5]","[2, 4, 6, 3.5, 0.5]","No Scale, 0.5",UUDD,0,none,none,"['B', 4]",same,0.125377997
503,558,"[11, 8, 5.5, 4, 1]","[11, 8, 5.5, 4, 1]","No Scale, 1",DDDD,0,none,none,"['B', 4]",same,0.466697058
504,623,"[3.0, 2, 5, 10.0, 9]","[3.0, 2, 5, 10.0, 9]","No Scale, 0.5",DUUD,0,none,none,"['G', 3]",same,0.442535269
505,293,"[11, 8, 5, 4, 1]","[13.0, 8, 5, 2.0, 1]","No Scale, 2",DDDD,2,one,four,"['B', 4]",different,0.235596552
506,568,"[11, 8, 7.0, 4, 1]","[11, 8, 7.0, 4, 1]","No Scale, 2",DDDD,0,none,none,"['B', 4]",same,0.142053469
507,312,"[2, 4, 6, 3, 1]","[1.0, 4, 7.0, 3, 1]","No Scale, 1",UUDD,2,one,three,"['B', 4]",different,0.625768827
508,681,"[0.0, 2.0, 6, 3, 1]","[0.0, 2.0, 6, 3, 1]","No Scale, 2",UUDD,0,none,none,"['B', 4]",same,0.923829248
509,699,"[3, 6, 0.5, 5, 1.5]","[3, 6, 0.5, 5, 1.5]","No Scale, 1",UDUD,0,none,none,"['B', 4]",same,0.012741578
510,583,"[2, 4, 8.0, 3, 1]","[2, 4, 8.0, 3, 1]","No Scale, 2",UUDD,0,none,none,"['G', 3]",same,0.957345852
511,286,"[11, 8, 5, 4, 1]","[11, 7.0, 5, 5.0, 1]","No Scale, 1",DDDD,2,two,four,"['B', 4]",different,0.511730311
512,483,"[2.5, 4, 6, 3.5, 1]","[2.5, 4, 6, 3.5, 1]","No Scale, 2",UUDD,0,none,none,"['G', 3]",same,0.267415713
513,587,"[3, 6.5, 1, 5, 2]","[3, 6.5, 1, 5, 2]","No Scale, 1",UDUD,0,none,none,"['B', 4]",same,0.767275736
514,511,"[3.5, 6.5, 1, 5, 2]","[3.5, 6.5, 1, 5, 2]","No Scale, 1",UDUD,0,none,none,"['B', 4]",same,0.251669677
515,272,"[11, 8, 5, 4, 1]","[10.5, 8, 5.5, 4, 1]","No Scale, 0.5",DDDD,2,one,three,"['B', 4]",different,0.504958308
516,141,"[2, 4, 6, 3, 1]","[0.0, 2.0, 6, 3, 1]","No Scale, 2",UUDD,2,one,two,"['G', 3]",different,0.421466636
517,292,"[11, 8, 5, 4, 1]","[13.0, 8, 3.0, 4, 1]","No Scale, 2",DDDD,2,one,three,"['B', 4]",different,0.565932661
518,697,"[3, 6.5, 1, 5, 2.5]","[3, 6.5, 1, 5, 2.5]","No Scale, 2",UDUD,0,none,none,"['B', 4]",same,0.739668789
519,574,"[2, 4, 6, 3.5, 1]","[2, 4, 6, 3.5, 1]","No Scale, 2",UUDD,0,none,none,"['B', 4]",same,0.915527222
520,690,"[2, 4, 6, 1.0, 3.0]","[2, 4, 6, 1.0, 3.0]","No Scale, 0.5",UUDU,0,none,none,"['B', 4]",same,0.60173075
521,349,"[3, 6, 1, 5, 2]","[3, 6, 2.0, 5, 3.0]","No Scale, 1",UDUD,2,three,five,"['B', 4]",different,0.734084224
522,134,"[2, 4, 6, 3, 1]","[3.0, 4, 6, 3, 0.0]","No Scale, 1",UUDD,2,one,five,"['G', 3]",different,0.861814318
523,614,"[0.0, 2, 5, 8, 10.0]","[0.0, 2, 5, 8, 10.0]","No Scale, 2",UUUU,0,none,none,"['B', 4]",same,0.961565339
524,208,"[11, 8, 5, 4, 1]","[11, 8, 7.0, 4, 1]","No Scale, 2",DDDD,1,three,none,"['B', 4]",different,0.41947646
525,656,"[11, 6.0, 5, 6.0, 1]","[11, 6.0, 5, 6.0, 1]","No Scale, 0.5",DDUD,0,none,none,"['G', 3]",same,0.683337975
526,70,"[1, 2, 5, 8, 9]","[1, 2, 5, 8.5, 8.5]","No Scale, 0.5",UUUU,2,four,five,"['G', 3]",different,0.479959709
527,628,"[1, 2, 3.0, 10.0, 9]","[1, 2, 3.0, 10.0, 9]","No Scale, 0.5",UUUD,0,none,none,"['G', 3]",same,0.80431937
528,120,"[11, 8, 5, 4, 1]","[11, 8, 5, 2.0, 3.0]","No Scale, 2",DDDD,2,four,five,"['G', 3]",different,0.517367402
529,609,"[1, 2, 5.5, 8, 9.5]","[1, 2, 5.5, 8, 9.5]","No Scale, 2",UUUU,0,none,none,"['B', 4]",same,0.523223817
530,599,"[3, 6, 1, 3.0, 2]","[3, 6, 1, 3.0, 2]","No Scale, 1",UDUD,0,none,none,"['B', 4]",same,0.350140505
531,344,"[3, 6, 1, 5, 2]","[4.0, 6, 1, 5, 3.0]","No Scale, 1",UDUD,2,one,five,"['B', 4]",different,0.944271406
532,302,"[2, 4, 6, 3, 1]","[1.5, 4, 6.5, 3, 1]","No Scale, 0.5",UUDD,2,one,three,"['B', 4]",different,0.15759011
533,288,"[11, 8, 5, 4, 1]","[11, 8, 4.0, 5.0, 1]","No Scale, 1",DDDD,2,three,four,"['B', 4]",different,0.329605618
534,553,"[1, 2, 7.0, 8, 9]","[1, 2, 7.0, 8, 9]","No Scale, 1",UUUU,0,none,none,"['G', 3]",same,0.785244597
535,557,"[11, 8.5, 5, 4, 1]","[11, 8.5, 5, 4, 1]","No Scale, 2",DDDD,0,none,none,"['B', 4]",same,0.737520366
536,7,"[1, 2, 5, 8, 9]","[1, 3.0, 5, 8, 9]","No Scale, 1",UUUU,1,two,none,"['G', 3]",different,0.958043635
537,340,"[3, 6, 1, 5, 2]","[3, 6, 1, 5.5, 2.5]","No Scale, 0.5",UDUD,2,four,five,"['B', 4]",different,0.033734075
538,209,"[11, 8, 5, 4, 1]","[11, 8, 5, 6.0, 1]","No Scale, 2",DDDD,1,four,none,"['B', 4]",different,0.928089563
539,573,"[2, 4, 5.5, 3, 1]","[2, 4, 5.5, 3, 1]","No Scale, 1",UUDD,0,none,none,"['B', 4]",same,0.823051173
540,64,"[1, 2, 5, 8, 9]","[1.5, 2, 5, 8, 9.5]","No Scale, 0.5",UUUU,2,one,five,"['G', 3]",different,0.159697919
